ax,ay,sin2_mean,sin2_std,g_mean,g_std,gp_mean,gp_std,mW_mean,mW_std,mZ_mean,mZ_std,Kxx_mean,Kxx_std,Kyy_mean,Kyy_std
1.3,1.0,0.24946165806701295,0.12115084296337494,745.3627080697357,377.4364018695602,360.210456450044,47.76396297480193,91679.61309257749,46424.677429955904,103270.86531692381,43509.278291099195,0.0001159642222653283,7.423043436741569e-05,0.00032054879430234176,8.381947103660885e-05
1.4000000000000001,1.0,0.15764987054642748,0.08320858806744137,994.9702892810648,900.7576196033045,304.469980189658,38.84959032959714,122381.34558157099,110793.18721120644,129723.11271028349,108855.68543988252,9.002571620397942e-05,5.613569166949406e-05,0.00044295673531320057,8.991209711699334e-05
1.5,1.0,0.1940961606031851,0.07246379426385346,688.4995312227725,192.05810296412008,315.4251451730002,37.918239159569694,84685.442340401,23623.146664586773,93612.65707864036,22211.03191146745,0.00010140801058778491,4.765751272492929e-05,0.0004125797093828632,8.7721868751004e-05
1.6,1.0,0.14343023865159252,0.05994336457715716,757.4047038342836,167.29608888781226,290.85243127378584,16.002770771591265,93160.77857161687,20577.418933200905,100102.99568292631,19117.146208652757,8.039840498157013e-05,3.77074734617281e-05,0.00047108683582143166,5.406877199930692e-05
1.7000000000000002,1.0,0.10733175734630636,0.06852004153227394,978.4424098020132,398.3707963078196,282.85776141672756,28.93706779151909,120348.41640564763,48999.60794586181,126007.34515174119,47222.547592756855,6.276151600690103e-05,4.964207661911291e-05,0.0005072323278357396,9.047621521537825e-05
1.8,1.0,0.10485849341980956,0.05357071665719685,987.1123216751134,442.3386966440508,281.2614071829113,16.4646216254079,121414.81556603893,54407.65968721825,126963.52633589406,52753.57518771166,6.052575273712709e-05,3.36913675779789e-05,0.0005041013077577078,5.786713477702333e-05
1.9000000000000001,1.0,0.09310172631634171,0.056139278948503006,1168.8666137452133,809.8627182906434,264.4151675001009,15.895104331514798,143770.5934906612,99613.11434974914,148565.86266232925,97890.30982805265,5.98969926175788e-05,3.7615411276217874e-05,0.0005704536779015046,6.414935348348231e-05
2.0,1.0,0.07067233823929817,0.04214026012040246,1134.4102319642839,465.7694021093028,260.61528570071965,10.60298638993383,139532.45853160688,57289.63645944424,143684.34201219722,55995.417417679026,4.551190998656426e-05,2.952443890322783e-05,0.0005841432398112843,4.761470679352594e-05
2.1,1.0,0.0634673705592645,0.0456101429182789,1240.3220374204864,559.2985312467486,255.92397213365203,11.875938200449678,152559.61060271985,68793.71934335007,156328.1865706639,67539.23134247401,4.3613183221421044e-05,3.519269649903442e-05,0.0006064420829450577,5.281112146603059e-05
2.2,1.0,0.06064952137832077,0.0452545994432442,1335.7915431475242,666.4149226485562,247.73765711850407,11.660901158278062,164302.35980714552,81969.03548577242,167850.81462538635,80441.75456147958,4.21738572026762e-05,3.320525165055668e-05,0.0006474729834016311,6.007329569268896e-05
2.3,1.0,0.04370164483578811,0.022828738334900272,1294.5226690131929,450.6941228133672,242.3206358340718,7.490955450544331,159226.2882886227,55435.37710604415,162285.2696993232,54578.349712941555,3.0411431903315725e-05,1.5240285040948211e-05,0.000674221110244027,4.087370423659657e-05
2.4000000000000004,1.0,0.0634985215606368,0.0375844104428709,1111.4908828310677,462.0991445664381,240.01259641665482,10.129716183573647,136713.37858822127,56838.1947816719,140327.9878678707,55697.9207211421,4.7375618622111144e-05,2.9047663062919175e-05,0.0006890375637340456,5.903541773297034e-05
2.5,1.0,0.04822566589970803,0.04054623870406051,1765.1067683584704,1411.2760723764127,229.3898693991815,8.176744762972168,217108.13250809186,173586.95690229876,219905.28282486534,172357.5775277625,4.01129523634031e-05,3.6205634944178876e-05,0.0007531541433675068,5.432090453348629e-05
2.6,1.0,0.03491437833479751,0.01992278473518144,1464.8854532446646,756.5465355139396,225.8134768011807,8.784506821656523,180180.91074909375,93055.22386821457,182660.40375556122,92370.08976220302,2.9048279823410686e-05,1.727169708759026e-05,0.0007777406069918118,6.0578471233449826e-05
