m,nu,minabs
0.0,0.0,0.01223457431085554
0.0125,1.0,0.00026542145833868824
0.025,1.0,0.012765417120675138
0.037500000000000006,1.0,0.025265412672055787
0.05,1.0,0.037765408108153806
0.0625,1.0,0.050265403424463034
0.07500000000000001,1.0,0.06276539861618198
0.08750000000000001,1.0,0.0752653936782641
0.1,1.0,0.0877653886054067
0.1125,1.0,0.10026538339198916
0.125,1.0,0.11276537803210926
0.1375,1.0,0.12526537251947953
0.15000000000000002,1.0,0.13776536684748375
0.1625,1.0,0.15026536100913462
0.17500000000000002,1.0,0.16276535499695893
0.1875,1.0,0.17526534880310018
0.2,1.0,0.18776534241918907
0.21250000000000002,1.0,0.2002653358363604
0.225,1.0,0.21276532904513568
0.23750000000000002,1.0,0.22526532203548094
0.25,1.0,0.23776531479666813
0.2625,1.0,0.2502653073172991
0.275,1.0,0.26276529958513517
0.28750000000000003,1.0,0.2752652915871735
0.30000000000000004,1.0,0.2877652833094504
0.3125,1.0,0.30026527473701103
0.325,1.0,0.31276526585385556
0.3375,1.0,0.3252652566427511
0.35000000000000003,1.0,0.3377652470852068
0.36250000000000004,1.0,0.35026523716128377
0.375,1.0,0.36276522684950635
0.3875,1.0,0.3752652161266741
0.4,1.0,0.38776520496770045
0.41250000000000003,1.0,0.4002651933454248
0.42500000000000004,1.0,0.41276518123035105
0.4375,1.0,0.42526516859047275
0.45,1.0,0.4377651553909168
0.4625,1.0,0.4502651415936354
0.47500000000000003,1.0,0.46276512715708995
0.48750000000000004,1.0,0.47526511203578237
0.5,1.0,0.4877650961797796
0.5125000000000001,1.0,0.5002650795341892
0.525,1.0,0.5127650620384986
0.5375,1.0,0.5252650436258341
0.55,1.0,0.5377650242221396
0.5625,1.0,0.5502650037451504
0.5750000000000001,1.0,0.5627649821032301
0.5875,1.0,0.5752649591939987
0.6000000000000001,1.0,0.5877649349027166
0.6125,1.0,0.6002649091003274
0.625,1.0,0.6127648816412288
0.6375000000000001,1.0,0.6252648523604303
0.65,1.0,0.6377648210702851
0.6625000000000001,1.0,0.6502647875564344
0.675,1.0,0.6627647515728677
0.6875,1.0,0.675264712835889
0.7000000000000001,1.0,0.6877646710165362
0.7125,1.0,0.7002646257312422
0.7250000000000001,1.0,0.7127645765299613
0.7375,1.0,0.7252645228810819
0.75,1.0,0.7377644641520958
0.7625000000000001,1.0,0.7502643995843817
0.775,1.0,0.7627643282601072
0.7875000000000001,1.0,0.7752642490580443
0.8,1.0,0.7877641605938309
0.8125,1.0,0.8002640611377494
0.8250000000000001,1.0,0.8127639484996337
0.8375,1.0,0.8252638198642719
0.8500000000000001,1.0,0.8377636715504904
0.8625,1.0,0.8502634986492144
0.875,1.0,0.8627632944624617
0.8875000000000001,1.0,0.8752630496023921
0.9,1.0,0.8877627504812664
0.9125000000000001,1.0,0.9002623766475049
0.925,1.0,0.9127618957791052
0.9375,1.0,0.9252612534875517
0.9500000000000001,1.0,0.9377603502332256
0.9625,1.0,0.950258980745414
0.9750000000000001,1.0,0.9627566349200152
0.9875,1.0,0.9752515127707168
1.0,1.0,0.9877004295239805
1.0125,1.0,0.9769757036609282
1.0250000000000001,1.0,0.9651608082971722
1.0375,1.0,0.9531637417492346
1.05,1.0,0.9410740390208703
1.0625,1.0,0.9289260726088507
1.075,1.0,0.916737327976984
1.0875000000000001,1.0,0.9045181130018507
1.1,1.0,0.8922750949632112
1.1125,1.0,0.8800128726543667
1.125,1.0,0.8677347719474374
1.1375,1.0,0.8554432873516038
1.1500000000000001,1.0,0.8431403447364825
1.1625,1.0,0.8308274663914912
1.175,1.0,0.8185058793725525
1.1875,1.0,0.8061765892367977
1.2000000000000002,1.0,0.793840431765409
1.2125000000000001,1.0,0.7814981101935425
1.225,1.0,0.7691502226107277
1.2375,1.0,0.7567972825214816
1.25,1.0,0.7444397345385457
1.2625000000000002,1.0,0.7320779665432975
1.2750000000000001,1.0,0.7197123192365268
1.2875,1.0,0.7073430937310234
1.3,1.0,0.6949705576538677
1.3125,1.0,0.6825949500999287
1.3250000000000002,1.0,0.6702164856894068
1.3375000000000001,1.0,0.6578353579192918
1.35,1.0,0.6454517419526907
1.3625,1.0,0.633065796956836
1.375,1.0,0.6206776680755842
1.3875000000000002,1.0,0.6082874881036762
1.4000000000000001,1.0,0.5958953789158826
1.4125,1.0,0.5835014526933842
1.425,1.0,0.5711058129813678
1.4375,1.0,0.5587085556053112
1.4500000000000002,1.0,0.5463097694682654
1.4625000000000001,1.0,0.533909537247535
1.475,1.0,0.5215079360057422
1.4875,1.0,0.5091050377288109
1.5,1.0,0.4967009098012807
1.5125000000000002,1.0,0.48429561542766064
1.5250000000000001,1.0,0.47188921400705053
1.5375,1.0,0.45948176146740416
1.55,1.0,0.44707331056443295
1.5625,1.0,0.434663911149841
1.5750000000000002,1.0,0.42225361041251186
1.5875000000000001,1.0,0.40984245309612477
1.6,1.0,0.39743048169577755
1.6125,1.0,0.38501773663632766
1.625,1.0,0.37260425643426937
1.6375000000000002,1.0,0.36019007784528834
1.6500000000000001,1.0,0.3477752359987835
1.6625,1.0,0.33535976452103755
1.675,1.0,0.3229436956480817
1.6875,1.0,0.31052706032936855
1.7000000000000002,1.0,0.2981098883233133
1.7125000000000001,1.0,0.28569220828535974
1.725,1.0,0.27327404784951814
1.7375,1.0,0.26085543370384884
1.75,1.0,0.24843639166070128
1.7625000000000002,1.0,0.2360169467219623
1.7750000000000001,1.0,0.22359712314008454
1.7875,1.0,0.21117694447508334
1.8,1.0,0.19875643364800372
1.8125,1.0,0.18633561299122772
1.8250000000000002,1.0,0.17391450429579686
1.8375000000000001,1.0,0.1614931288562261
1.85,1.0,0.14907150751288753
1.8625,1.0,0.13664966069235246
1.875,1.0,0.12422760844578079
1.8875000000000002,1.0,0.11180537048569544
1.9000000000000001,1.0,0.0993829662211947
1.9125,1.0,0.08696041479184109
1.925,1.0,0.07453773510043356
1.9375,1.0,0.06211494584471913
1.9500000000000002,1.0,0.049692065548236096
1.9625000000000001,1.0,0.03726911259047189
1.975,1.0,0.02484610523635583
1.9875,1.0,0.012423061665320707
2.0,0.0,3.252335466913547e-16
