ay,S_star,S_raw,A,B,w_star,r
0.70875625,0.23106919219301952,0.24092321612560963,0.22143624179400892,0.26041019045721037,0.7899249266505761,0.2135288020573388
0.7224999999999999,0.23141927744445806,0.2406248339167841,0.22663171827036396,0.25461794956320427,0.8541108283024927,0.1533098718657629
0.7375499999999999,0.23349244202244854,0.24049665532011283,0.23095374365208637,0.25003956698813934,0.91336318577093,0.10454930411810275
0.7536438000000001,0.23158239647422058,0.24048760548027087,0.2300629913053951,0.25091221965514665,0.9456882695594855,0.11420638556699388
0.76825,0.23727920502577043,0.24034458651245286,0.24285018932905753,0.2378389836958482,0.21875,-0.027450000975883015
0.7858333333333333,0.23511492367264009,0.24037971941513328,0.23505903103302694,0.24570040779723967,0.9168786908277088,0.05828782892608634
0.804,0.23713807824524058,0.2403430618596857,0.23792758729549823,0.24275853642387318,0.8093349295655974,0.02646022596457418
0.8195,0.23785492674535083,0.24034037276657663,0.24090915205706645,0.23977159347608681,0.553125,-0.006232353626221769
0.8347916666666667,0.235517750525824,0.2403686371265061,0.24521101302587134,0.2355262612271409,0.03377147928523798,-0.053049617952537986
0.8532500000000001,0.2315597338705459,0.24058936205971093,0.25340363156496604,0.22777509255445583,0.11020810937413594,-0.140393363961468
,,,,,,
,,,,,,
0.901,0.23099999999999998,0.2407605986329769,0.2580200647489894,0.22350113251696443,0.2106863194471671,-0.18910258130863386
0.9149765625,0.23099999999999998,0.24077898579764906,0.2585555649822063,0.22300240661309187,0.223390143116654,-0.19476846442841092
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.02,0.23099999999999998,0.24213725049823653,0.2778023745269399,0.20647212646953322,0.34377316028372096,-0.3909379865145073
,,,,,,
,,,,,,
1.08,0.23099999999999998,0.24281231698159933,0.2844217985839355,0.20120283537926312,0.357110310237766,-0.4562081112848102
