t,theta_mean,theta_lo,theta_hi
0.0001,599.8962204598458,599.8931075215659,599.8996925425334
0.0001055386103036524,599.8904731371997,599.8871878394249,599.8941374661485
0.00011138398264826194,599.8844075635122,599.8809403660712,599.8882747797935
0.00011755310738783699,599.8780061201533,599.8743469551815,599.8820874534428
0.0001240639159058832,599.871250213582,599.8673884563746,599.8755575146741
0.0001309353327353611,599.8641202214549,599.8600446597138,599.8686659965672
0.0001381873305653632,599.8565954357603,599.8522942371492,599.8613928827277
0.00014584098829439863,599.8486540028173,599.84411468073,599.853717049278
0.00015391855229902055,599.8402728599657,599.8354822374108,599.8456162036482
0.0001624435010958867,599.8314276687659,599.8263718402658,599.8370668199929
0.00017144061358519703,599.8220927445168,599.8167570359117,599.8280440710461
0.00018093604107387166,599.8122409818915,599.8066099079344,599.8185217562213
0.00019095738328780968,599.8018437764756,599.7959009960979,599.808472225749
0.0002015337685941733,599.790870941986,599.7845992111065,599.797866300637
0.0002126959386668692,599.7792906229322,599.7726717446772,599.7866731882199
0.0002244763378413224,599.7670692024719,599.760083974664,599.774860393063
0.00023690920741826322,599.7541712051986,599.7467993649661,599.7623936229613
0.0002500306851906324,599.7405591945815,599.7327793599353,599.7492366897668
0.00026387891048289345,599.7261936647714,599.7179832729798,599.7353514047641
0.0002784941350080644,599.71103292646,599.7023681690536,599.7206974682925
0.0002939188398646887,599.6950329864716,599.6858887406923,599.7052323533059
0.0003101978590138097,599.6781474207463,599.6684971772512,599.6889111825343
0.0003273785095948577,599.6603272403531,599.6501430269706,599.6716865989054
0.0003455107294592218,599.641520750158,599.6307730514834,599.6535086288542
0.0003646472223212749,599.6216733997453,599.6103310723538,599.6343245381373
0.00038484361094874293,599.6007276261746,599.5887578092157,599.614078679744
0.00040615859883769796,599.5786226881306,599.5659907090579,599.5927123334776
0.00042865414084209254,599.5552944910012,599.5419637661772,599.5701635367533
0.00045239562325380536,599.5306754023936,599.5166073322981,599.5463669061406
0.00047745205385661313,599.5046940575755,599.4898479163284,599.5212534491496
0.000503896262506515,599.4772751542952,599.4616079731946,599.4947503657343
0.0005318051128214197,599.4483392364143,599.4318056811737,599.466780838961
0.0005612597255954971,599.4178024657524,599.400354707102,599.4372638142611
0.0005923457145875806,599.3855763815095,599.3671639588166,599.4061137666506
0.0006251534353689712,599.351567646608,599.3321373241487,599.3732404552788
0.0006597782479539533,599.3156777802542,599.2951733957516,599.3385486646255
0.0006963207939763883,599.2778028759865,599.2561651810157,599.3019379316346
0.0007348872892180388,599.2378333044412,599.2149997962772,599.2633022580386
0.0007755898323389002,599.1956534000276,599.1715581444953,599.2225298070848
0.0008185467307069029,599.1511411306632,599.1257145755258,599.1795025838414
0.0008638828442740445,599.1041677496756,599.077336528078,599.1340960982119
0.0009117299484984922,599.0545974289394,599.0262841524001,599.0861790097506
0.0009622271173675135,599.0022868722634,598.9724099126835,599.035612753324
0.0010155211276345682,598.947084908001,598.9155581681382,598.9822511446138
0.0010717668854455034,598.8888320598031,598.8555647316323,598.9259399644111
0.0011311278765939214,598.8273600943849,598.7922564047425,598.8665165206014
0.0011937766417144358,598.7624915451217,598.7254504880027,598.8038091866823
0.0012598952777950272,598.6940392102331,598.6549542650879,598.7376369156066
0.0013296759674662126,598.6218056242608,598.580564459607,598.667808727684
0.0014033215376054848,598.5455825014806,598.5020666631226,598.5941231712146
0.001481046048880674,598.4651501498327,598.4192347329493,598.5163677544681
0.001563075417945816,598.3802768538897,598.3318301582249,598.4343183475617
0.0016496480740980208,598.2907182253136,598.2396013926779,598.347738552719
0.0017410156523040153,598.1962165191911,598.1422831524512,598.2563790413323
0.0018374437246107247,598.0964999145687,598.039595677275,598.1599768561787
0.001939212572065829,597.991281757429,597.9312439532067,598.05825467707
0.00204661799939199,597.8802597642979,597.8169168950951,597.9509200481461
0.0021599721947827173,597.763115184579,597.6962864868439,597.8376645649511
0.00227960463731898,597.6395119196558,597.5690068774885,597.7181630193504
0.002405863054644067,597.5090955967187,597.4347134310202,597.592072500281
0.002539114433680347,597.371492595206,597.2930217278252,597.4590314482442
0.0026797460873256894,597.226309023672,597.1435265155345,597.3186586613807
0.0028281667802300325,597.0731296448254,596.9858006070099,597.1705522508869
0.0029848079169243276,596.9115167464075,596.8193937231259,597.014288543463
0.0031501247957553278,596.7410089555154,596.6438312779421,596.8494209284037
0.0033245979322709383,596.5611199939043,596.4586131037976,596.6754786468765
0.0035087344559027113,596.3713373717432,596.2632121138073,596.4919655208619
0.003703069584005141,596.1711210172424,596.057072899182,596.2983586191632
0.003908168177536264,595.9599018395145,595.8396102587569,596.094106857838
0.004124626382901348,595.7370802219897,595.6102076580707,595.8786295323437
0.004353073364731888,595.5020244436676,595.3682156153168,595.6513147786446
0.0045941731346364765,595.2540690254615,595.1129500114674,595.4115179604917
0.004848626481239078,594.9925129988767,594.8436903218753,595.1585599800477
0.005117173007114605,594.7166180942621,594.5596777666675,594.8917255090286
0.005400593278542374,594.4256068458927,594.2601133772807,594.6102611375119
0.005699711094326075,594.1186606111698,593.9441559765394,594.3133734375906
0.006015395880274833,593.7949175012861,593.6109200697543,594.0002269390733
0.006348565216305217,593.4534702207802,593.2594736444273,593.6699420144929
0.006700187503509591,593.0933638135127,592.8888358762773,593.3215926707574
0.007071284778942996,592.7135933127402,592.4979747394793,592.9542042448936
0.00746293568631013,592.3131012931375,592.085804519217,592.5667510014669
0.007876278611187055,591.8907753228361,591.6511832249045,592.1581536294402
0.008312514989890631,591.445445313818,591.1929099027406,591.7272766364628
