m,nu,minabs
0.0,0.0,0.020413970921255218
0.0125,0.0,0.008061124744367439
0.025,-1.0,0.00428742699322203
0.037500000000000006,-1.0,0.016631502340329
0.05,-1.0,0.028970909413403783
0.0625,-1.0,0.041305445743238065
0.07500000000000001,-1.0,0.05363489757225461
0.08750000000000001,-1.0,0.06595903909790952
0.1,-1.0,0.07827763165789849
0.1125,-1.0,0.09059042285190264
0.125,-1.0,0.10289714559462072
0.1375,-1.0,0.11519751709380179
0.15000000000000002,-1.0,0.12749123774691223
0.1625,-1.0,0.13752885657491715
0.17500000000000002,-1.0,0.14577891436821058
0.1875,-1.0,0.1544276323466267
0.2,-1.0,0.1634180618924144
0.21250000000000002,-1.0,0.17270132515242037
0.225,-1.0,0.18223562052474543
0.23750000000000002,-1.0,0.19198524123837662
0.25,-1.0,0.20191966893319344
0.2625,-1.0,0.21201276902652919
0.275,-1.0,0.22224209402543166
0.28750000000000003,-1.0,0.23258828984781224
0.30000000000000004,-1.0,0.24303459499416236
0.3125,-1.0,0.2535664206002216
0.325,-1.0,0.26417099943976746
0.3375,-1.0,0.27483709289465164
0.35000000000000003,-1.0,0.2855547462231999
0.36250000000000004,-1.0,0.2963150838451769
0.375,-1.0,0.3071101376704329
0.3875,-1.0,0.3179327026646517
0.4,-1.0,0.32877621485027375
0.41250000000000003,-1.0,0.33963464778668373
0.42500000000000004,-1.0,0.35050242427727724
0.4375,-1.0,0.3613743406294589
0.45,-1.0,0.37224550126759853
0.4625,-1.0,0.3831112618847874
0.47500000000000003,-1.0,0.39396717963282546
0.48750000000000004,-1.0,0.4048089691041991
0.5,-1.0,0.41563246306528123
0.5125000000000001,-1.0,0.4264335770660897
0.525,-1.0,0.4372082771847774
0.5375,-1.0,0.447952550271406
0.55,-1.0,0.4586623761388341
0.5625,-1.0,0.4693337012129551
0.5750000000000001,-1.0,0.479962413202634
0.5875,-1.0,0.49054431638311813
0.6000000000000001,-1.0,0.501075107107539
0.6125,-1.0,0.5115503491698692
0.625,-1.0,0.5219654486409063
0.6375000000000001,-1.0,0.53231562778579
0.65,-1.0,0.5425958976493517
0.6625000000000001,-1.0,0.5528010288626072
0.675,-1.0,0.5629255201818679
0.6875,-1.0,0.5729635642206438
0.7000000000000001,-1.0,0.5829090097746012
0.7125,-1.0,0.5927553200726774
0.7250000000000001,-1.0,0.6024955262135322
0.7375,-1.0,0.6121221749689048
0.75,-1.0,0.6216272700570779
0.7625000000000001,-1.0,0.6310022059152347
0.775,-1.0,0.6402376929373782
0.7875000000000001,-1.0,0.649323673105183
0.8,-1.0,0.6582492249397274
0.8125,-1.0,0.6670024567681077
0.8250000000000001,-1.0,0.6755703874646185
0.8375,-1.0,0.6839388141447733
0.8500000000000001,-1.0,0.6920921668311742
0.8625,-1.0,0.7000133509705354
0.875,-1.0,0.7076835799859865
0.8875000000000001,-1.0,0.7150822019543317
0.9,-1.0,0.7221865271846425
0.9125000000000001,-1.0,0.7289716671284071
0.925,-1.0,0.7354103998202401
0.9375,-1.0,0.7414730829640725
0.9500000000000001,-1.0,0.7471276426326936
0.9625,-1.0,0.7523396727049304
0.9750000000000001,-1.0,0.7570726863533045
0.9875,-1.0,0.7612885640165985
1.0,-1.0,0.7649482393916485
1.0125,-1.0,0.768012652591102
1.0250000000000001,-1.0,0.7704439747051826
1.0375,-1.0,0.7722070696058315
1.05,-1.0,0.7732711100387594
1.0625,-1.0,0.7736112144716447
1.075,-1.0,0.773209932423006
1.0875000000000001,-1.0,0.7720583941819279
1.1,-1.0,0.7701569664160235
1.1125,-1.0,0.7675153179553169
1.125,-1.0,0.7641518869479946
1.1375,-1.0,0.760092829504555
