species,d_ax,d_ay,ax,ay,z_pred,dz
s,-0.008,-0.008,2.571554620804375,0.8017866548499764,-0.08305428866158238,-0.11381351390803447
s,-0.008,-0.004,2.571554620804375,0.8057866548499764,-0.00370547550660838,-0.034464700753060476
s,-0.008,0.0,2.571554620804375,0.8097866548499764,0.07489309897761309,0.044133873731161
s,-0.008,0.004,2.571554620804375,0.8137866548499764,0.1527414347910554,0.1219822095446033
s,-0.008,0.008,2.571554620804375,0.8177866548499764,0.22983953193374518,0.19908030668729307
s,-0.004,-0.008,2.575554620804375,0.8017866548499764,-0.10591228303301037,-0.13667150827946248
s,-0.004,-0.004,2.575554620804375,0.8057866548499764,-0.02611828226184265,-0.05687750750829475
s,-0.004,0.0,2.575554620804375,0.8097866548499764,0.05292547983857254,0.022166254592120443
s,-0.004,0.004,2.575554620804375,0.8137866548499764,0.13121900326821567,0.10045977802176358
s,-0.004,0.008,2.575554620804375,0.8177866548499764,0.20876228802709207,0.17800306278063996
s,0.0,-0.008,2.579554620804375,0.8017866548499764,-0.12898400112792174,-0.15974322637437385
s,0.0,-0.004,2.579554620804375,0.8057866548499764,-0.048744812740560306,-0.0795040379870124
s,0.0,0.0,2.579554620804375,0.8097866548499764,0.030744136976041503,-1.50882704105966e-05
s,0.0,0.004,2.579554620804375,0.8137866548499764,0.10948284802187835,0.07872362277542626
s,0.0,0.008,2.579554620804375,0.8177866548499764,0.18747132039694137,0.15671209515048926
s,0.004,-0.008,2.583554620804375,0.8017866548499764,-0.1522694429463307,-0.18302866819278282
s,0.004,-0.004,2.583554620804375,0.8057866548499764,-0.07158506694277555,-0.10234429218922765
s,0.004,0.0,2.583554620804375,0.8097866548499764,0.008349070390019975,-0.022410154856432125
s,0.004,0.004,2.583554620804375,0.8137866548499764,0.08753296905203634,0.05677374380558424
s,0.004,0.008,2.583554620804375,0.8177866548499764,0.16596662904330728,0.13520740379685517
s,0.008,-0.008,2.587554620804375,0.8017866548499764,-0.17576860848821596,-0.20652783373466807
s,0.008,-0.004,2.587554620804375,0.8057866548499764,-0.09463904486846708,-0.1253982701149192
s,0.008,0.0,2.587554620804375,0.8097866548499764,-0.014259719919477831,-0.04501894516592993
s,0.008,0.004,2.587554620804375,0.8137866548499764,0.06536936635873936,0.03461014111228726
s,0.008,0.008,2.587554620804375,0.8177866548499764,0.14424821396619691,0.11348898871974482
