species,m_GeV,logm,q_target,z_target,ax,ay,z_pred,abs_err,ok,note
u,0.0022,-6.119297918617867,,-0.8665062615216951,2.6225,0.78,-0.8663958192939276,0.00011044222776745993,True,local_min_interior
d,0.0047,-5.360192770266124,,-0.6583704128287703,2.6245,0.79,-0.6584588024389451,8.83896101747661e-05,True,local_min_interior
s,0.095,-2.353878387381596,,0.030759225246452138,2.579554620804375,0.8097866548499764,0.030744136976041503,1.5088270410634763e-05,True,local_min_interior
e,0.000511,-7.57914096776057,,-1.1664897364289473,2.5385,0.74,-1.1664898122623448,7.583339756145335e-08,True,local_min_interior
mu,0.10566,-2.2475288872459673,,0.056801148369014155,2.6064658236168006,0.8186872517066096,0.056803989143103806,2.8407740896504996e-06,True,local_min_interior
c,1.27,0.23901690047049992,,0.594222688855772,2.4883,0.81625,0.5940465030108157,0.000176185844956267,True,local_min_interior
tau,1.77686,0.5748477616006503,,0.6714935168927125,2.5755000000000003,0.8424999999999999,0.6714658641326565,2.7652760056007253e-05,True,local_min_interior
b,4.18,1.430311246536665,,0.8662716277472688,2.4764999999999997,0.83,0.8662881099340751,1.6482186806277e-05,True,local_min_interior
t,172.76,5.1519033480925005,,1.7174714593735538,2.6385,0.917701075461875,1.717434840965062,3.661840849189524e-05,True,local_min_interior
