ay,A,B,cA,cB,w_star,S_star,err_star,w_pow,S_pow,err_pow,w_log,S_log,err_log,w_log_bias,S_log_bias,err_log_bias
0.76,0.22656,0.254652,3.414,2.927,0.8419478855190089,0.231,0.0,0.6492232043539511,0.23641402174328882,0.0054140217432888105,0.4652587202198082,0.24158195203158517,0.010581952031585157,0.4652587202198082,0.23293652955195823,0.0019365295519582215
0.77,0.228874,0.252163,3.369,2.966,0.9087122675941426,0.231,0.0,0.6247143141074544,0.2376140283387515,0.006614028338751493,0.4456379923187044,0.24178453679688972,0.010784536796889704,0.4456379923187044,0.23313911431726278,0.002139114317262769
0.78,0.231173,0.249722,3.326,3.005,1.0,0.231173,0.00017299999999997873,0.600121468175643,0.23859034688681,0.007590346886809984,0.42658877003818957,0.24180920490456162,0.010809204904561609,0.42658877003818957,0.23316378242493468,0.0021637824249346738
0.79,0.233459,0.24733,3.284,3.043,1.0,0.233459,0.002458999999999989,0.575633396889599,0.23934538915174436,0.008345389151744348,0.4081893281795731,0.24166800582882114,0.010668005828821131,0.4081893281795731,0.2330225833491942,0.002022583349194196
0.8,0.23573,0.244983,3.242,3.082,1.0,0.23573,0.004729999999999984,0.5504395332773271,0.23988978299858488,0.008889782998584866,0.38978944917877106,0.24137627822674884,0.01037627822674883,0.38978944917877106,0.2327308557471219,0.0017308557471218955
0.81,0.237988,0.242681,3.202,3.121,1.0,0.237988,0.006987999999999994,0.5255997470789128,0.24021436038695865,0.009214360386958637,0.37211881574821515,0.24093464639769363,0.00993464639769362,0.37211881574821515,0.2322892239180667,0.0012892239180666842
0.8200000000000001,0.240231,0.240422,3.163,3.16,1.0,0.240231,0.00923099999999999,0.5009489155854321,0.24032631875712318,0.00932631875712317,0.3549952550296332,0.24035419590628934,0.009354195906289331,0.3549952550296332,0.2317087734266624,0.0007087734266623957
0.8300000000000001,0.242461,0.238205,3.124,3.198,0.0,0.238205,0.007204999999999989,0.4766057113898217,0.2402334339076751,0.009233433907675087,0.33844513149129946,0.23964542247962695,0.008645422479626935,0.33844513149129946,0.231,0.0
0.84,0.244678,0.236029,3.087,3.237,0.0,0.236029,0.005028999999999978,0.45269467955184856,0.23994435628344396,0.00894435628344395,0.3224981266386829,0.23881828629729795,0.007818286297297944,0.3224981266386829,0.23017286381767102,-0.0008271361823289913
0.85,0.246881,0.233893,3.051,3.276,0.0,0.233893,0.002892999999999979,0.4293227023039403,0.23946904325752355,0.00846904325752354,0.3071725649978097,0.23788255727419155,0.006882557274191542,0.3071725649978097,0.22923713479456462,-0.0017628652054353933
0.86,0.249072,0.231796,3.015,3.314,0.0,0.231796,0.0007959999999999912,0.4065552322610408,0.23881964819254173,0.007819648192541717,0.2924618949617522,0.23684857169735923,0.005848571697359223,0.2924618949617522,0.2282031492177323,-0.0027968507822677124
0.87,0.251249,0.229736,2.98,3.353,0.05875517129177776,0.231,0.0,0.3842071728034597,0.23800144890852082,0.007001448908520808,0.27820417522207685,0.23572100642155253,0.004721006421552515,0.27820417522207685,0.2270755839419256,-0.00392441605807442
0.88,0.253413,0.227713,2.946,3.392,0.12789883268482538,0.23099999999999998,-2.7755575615628914e-17,0.36264888451158844,0.2370330763319478,0.006033076331947801,0.2645961291684604,0.23451312051962941,0.0035131205196294035,0.2645961291684604,0.22586769804000248,-0.005132301959997532
0.89,0.255565,0.225725,2.913,3.43,0.17677613941018785,0.23099999999999998,-2.7755575615628914e-17,0.3421996487316451,0.2359362375181523,0.004936237518152281,0.25179852311029804,0.2332386679296113,0.0022386679296112766,0.25179852311029804,0.22459324544998435,-0.006406754550015659
0.9,0.257704,0.223772,2.881,3.469,0.21301426382176158,0.231,0.0,0.3223669012264192,0.23471055369241484,0.0037105536924148252,0.23946942802640103,0.23189767663179184,0.0008976766317918272,0.23946942802640103,0.2232522541521649,-0.007747745847835108
