seed,Lx,Ly,jitter,ax,ay,g,gp,mW,mZ,sin2,rho,Kxx,Kyy,Kyx,Kxy
447473041,12,12,0.25,1.0,1.825,22.025984714065398,33.911221707930046,2709.196119830044,4973.696234704569,0.7032967012173851,0.9999999999999997,0.0813746380266697,0.03432992575958535,0.0,0.0
994457805,12,12,0.25,1.0,1.825,22.350222801536166,33.89075368002577,2749.0774045889484,4993.429841530692,0.6969069124412124,0.9999999999999999,0.07903073538282845,0.03437140480543535,0.0,0.0
992582322,12,12,0.25,1.0,1.825,21.8856361810619,33.73684595106137,2691.933250270614,4946.306782917615,0.703812670682876,0.9999999999999998,0.08242166546964098,0.0346857253218194,0.0,0.0
382009741,12,12,0.25,1.0,1.825,40.10690574432652,34.25714080071108,4933.149406552162,6487.728930351932,0.4218198922051835,1.0,0.024542648190375084,0.03364011806579032,0.0,0.0
953587957,12,12,0.25,1.0,1.825,22.4876063900163,32.35509934129302,2765.975585972005,4846.48859582419,0.6742815985987763,1.0000000000000002,0.07806803976424775,0.03771153945974538,0.0,0.0
827148012,12,12,0.25,1.0,1.825,22.89993724324605,35.625239003196526,2816.6922809192642,5209.111397665038,0.7076174043688107,0.9999999999999997,0.07528200069421613,0.031105999698972472,0.0,0.0
639453026,12,12,0.25,1.0,1.825,21.242746781837607,33.82202662176506,2612.8578541660254,4912.589474164059,0.7171145433346452,0.9999999999999993,0.08748596613033392,0.03451123354088812,0.0,0.0
837255276,12,12,0.25,1.0,1.825,26.51506722990873,33.37811885227191,3261.353269278774,5243.245766347235,0.6131030924585054,0.9999999999999998,0.056153169103324,0.035435292599182294,0.0,0.0
766262291,12,12,0.25,1.0,1.825,23.86403692218443,32.72816216674212,2935.2765414286846,4982.069194832296,0.6528808790254103,1.0,0.06932213218756722,0.03685670443428028,0.0,0.0
386220117,12,12,0.25,1.0,1.825,20.432117865466296,31.770531914531542,2513.1504974523546,4646.141861683529,0.7074149974167652,1.0,0.09456555293955372,0.039112066682414154,0.0,0.0
77225029,12,12,0.25,1.0,1.825,22.48281838619345,32.12313414046196,2765.3866615017946,4822.74964559301,0.6712072051066668,1.0000000000000007,0.07810129448063621,0.03825814547535254,0.0,0.0
454802479,12,12,0.25,1.0,1.825,22.60168138666728,35.10369162418927,2780.0068105600753,5135.312850627642,0.7069390813983584,0.9999999999999998,0.07728197990762731,0.03203717069691977,0.0,0.0
