m,nu,minabs
0.0,0.0,0.03256076007933328
0.0125,0.0,0.020343070837295273
0.025,0.0,0.008135262731773594
0.037500000000000006,-1.0,0.004062236377824943
0.05,-1.0,0.016248982632492314
0.0625,-1.0,0.02842451641615346
0.07500000000000001,-1.0,0.04058836276655632
0.08750000000000001,-1.0,0.05274003197631177
0.1,-1.0,0.06487902040495917
0.1125,-1.0,0.07700481152168305
0.125,-1.0,0.08911687719562124
0.1375,-1.0,0.10121467924631401
0.15000000000000002,-1.0,0.11329767126086768
0.1625,-1.0,0.1253653006762252
0.17500000000000002,-1.0,0.13741701111427287
0.1875,-1.0,0.14945224494516043
0.2,-1.0,0.1614704460385807
0.21250000000000002,-1.0,0.17347106264571957
0.225,-1.0,0.18545355033562708
0.23750000000000002,-1.0,0.19741737489012556
0.25,-1.0,0.20936201504113405
0.2625,-1.0,0.221286964916811
0.275,-1.0,0.23319173604655943
0.28750000000000003,-1.0,0.24507585876476395
0.30000000000000004,-1.0,0.2569388828474928
0.3125,-1.0,0.26878037721916453
0.325,-1.0,0.28059992857595656
0.3375,-1.0,0.2923971387917872
0.35000000000000003,-1.0,0.30417162099861783
0.36250000000000004,-1.0,0.31592299426545484
0.375,-1.0,0.32765087683708055
0.3875,-1.0,0.33935487793135083
0.4,-1.0,0.3510345881299788
0.41250000000000003,-1.0,0.3626895684290771
0.42500000000000004,-1.0,0.374319338038962
0.4375,-1.0,0.3859233610366128
0.45,-1.0,0.3975010319766997
0.4625,-1.0,0.40905166055807995
0.47500000000000003,-1.0,0.42057445542316657
0.48750000000000004,-1.0,0.43206850713784684
0.5,-1.0,0.44353277036209643
0.5125000000000001,-1.0,0.4549660451783894
0.525,-1.0,0.46636695749649126
0.5375,-1.0,0.47773393840361117
0.55,-1.0,0.4890652022765063
0.5625,-1.0,0.5003587234202036
0.5750000000000001,-1.0,0.5116122109445818
0.5875,-1.0,0.522823081536853
0.6000000000000001,-1.0,0.5339884297330394
0.6125,-1.0,0.5451049952346383
0.625,-1.0,0.5561691267569545
0.6375000000000001,-1.0,0.5671767418317005
0.65,-1.0,0.5781232819178406
0.6625000000000001,-1.0,0.5890036621010744
0.675,-1.0,0.5998122145834236
0.6875,-1.0,0.6105426250821153
0.7000000000000001,-1.0,0.6211878611736293
0.7125,-1.0,0.6317400915397879
0.7250000000000001,-1.0,0.6421905950069062
0.7375,-1.0,0.6525296582296091
0.75,-1.0,0.6627464608788901
0.7625000000000001,-1.0,0.672828947278987
0.775,-1.0,0.6827636836426324
