seed,Lx,Ly,jitter,NV,NF,rho_v,lambda1,kappa_rms,base_spec,base_curv,v_lambda1,v_aug,g,gprime,mA,mW,mZ,sin2_SM
502725736.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0074028481274345925,10.072400892522372,0.254559519957106,1.0,11.622527438251183,7.804524180373925,0.652,0.357,0.0,2.5442748828018997,2.900703943916242,0.23065479691540894
995012024.0,12.0,12.0,0.25,144.0,288.0,1.0,0.012402541347418583,10.207381544589053,0.24537880561157147,1.0,8.979345001897016,6.0173388119444455,0.652,0.357,0.0,1.9616524526938892,2.2364615728375203,0.23065479691540894
993324090.0,12.0,12.0,0.25,144.0,288.0,1.0,0.017993940634425346,10.363757081310144,0.25718430770323536,1.0,7.454814793063041,5.008819336081827,0.652,0.357,0.0,1.6328751035626756,1.8616255990432948,0.23065479691540894
443808766.0,12.0,12.0,0.25,144.0,288.0,1.0,8.029981064318483e-05,13.922060881222036,0.08307411542331368,1.0,111.5944868304169,72.02944996794497,0.652,0.357,0.0,23.48160068955006,26.77115283024534,0.23065479691540894
844433211.0,12.0,12.0,0.25,144.0,288.0,1.0,0.007051106017363241,10.038227905523271,0.2523999144539648,1.0,11.908892575322769,7.992987368127181,0.652,0.357,0.0,2.6057138820094607,2.970749970985211,0.23065479691540894
675507723.0,12.0,12.0,0.25,144.0,288.0,1.0,0.015687451067009025,10.28184485845808,0.24467833795393046,1.0,7.984060292645797,5.349532908415126,0.652,0.357,0.0,1.743947728143331,1.9882584571358226,0.23065479691540894
853529748.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0007067760092754914,14.272409449684352,0.08029668007968778,1.0,37.61482973241282,24.262566353177874,0.652,0.357,0.0,7.9095966311359875,9.0176569748062,0.23065479691540894
978228108.0,12.0,12.0,0.25,144.0,288.0,1.0,0.01728942770874822,10.05009678268019,0.24450833979523065,1.0,7.605183389044582,5.095482337169309,0.652,0.357,0.0,1.6611272419171947,1.8938355971464762,0.23065479691540894
447598105.0,12.0,12.0,0.25,144.0,288.0,1.0,0.010737872768186454,10.251135927680506,0.24525198510492022,1.0,9.650301302283257,6.466784898665968,0.652,0.357,0.0,2.1081718769651054,2.403506994979883,0.23065479691540894
169502525.0,12.0,12.0,0.25,144.0,288.0,1.0,0.019888749850727402,10.044812257339446,0.2504292597729472,1.0,7.090816673796851,4.757118151205269,0.652,0.357,0.0,1.5508205172929177,1.7680759344146892,0.23065479691540894
385710768.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0013954724495017752,10.20094561128008,0.25334841023069476,1.0,26.76944496330972,17.97084663909697,0.652,0.357,0.0,5.8584960043456125,6.679216377166121,0.23065479691540894
538426702.0,12.0,12.0,0.25,144.0,288.0,1.0,8.070769756893568e-05,10.346526441858517,0.2533373734938721,1.0,111.31213712988169,74.72580956853163,0.652,0.357,0.0,24.36061391934131,27.773307573683322,0.23065479691540894
969018372.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0028015101540741797,10.26966091794587,0.2970747666075221,1.0,18.89312942004176,12.805792574438364,0.652,0.357,0.0,4.1746883792669065,4.759523087782525,0.23065479691540894
708282608.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0052290531211927884,10.255081504029159,0.2703894851683608,1.0,13.828926650517731,9.318664032682571,0.652,0.357,0.0,3.0378844746545184,3.4634636125040092,0.23065479691540894
672069596.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0006869059777379834,10.10683765147592,0.2451582212549341,1.0,38.15499070568355,25.567591919803853,0.652,0.357,0.0,8.335034965856057,9.502695232172728,0.23065479691540894
357242441.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0003216032552250526,14.16520099952415,0.08062871656892619,1.0,55.76218488235998,35.97096376636323,0.652,0.357,0.0,11.726534187834412,13.369311703325254,0.23065479691540894
450588722.0,12.0,12.0,0.25,144.0,288.0,1.0,0.01451224198719051,9.707916728072629,0.1302206626687185,1.0,8.30104454258325,5.418262462049704,0.652,0.357,0.0,1.7663535626282034,2.013803139000319,0.23065479691540894
508889144.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0006221849224284619,14.262854526617593,0.24366738105801,1.0,40.09038793601677,26.855577363008635,0.652,0.357,0.0,8.754918220340816,9.981400194636157,0.23065479691540894
307197603.0,12.0,12.0,0.25,144.0,288.0,1.0,0.005440968475926858,10.210386243299373,0.2390054818908013,1.0,13.556946904804729,9.072029869023616,0.652,0.357,0.0,2.957481737301699,3.371797205341217,0.23065479691540894
250265035.0,12.0,12.0,0.25,144.0,288.0,1.0,0.00029804037308628627,13.937138701424994,0.07926028398336046,1.0,57.92452095769169,37.35354958862873,0.652,0.357,0.0,12.177257165892966,13.883176745544404,0.23065479691540894
531780340.0,12.0,12.0,0.25,144.0,288.0,1.0,1.7464303926373446e-16,10.226835502446512,0.41097305117332167,1.0,75670109.01933499,694402.340314795,0.652,0.357,0.0,226375.1629426232,258088.20123602828,0.23065479691540894
238092785.0,12.0,12.0,0.25,144.0,288.0,1.0,0.008280843349300671,9.801852804683293,0.31351505916826405,1.0,10.98911492939741,7.475046156793129,0.652,0.357,0.0,2.43686504711456,2.778246997106096,0.23065479691540894
412887608.0,12.0,12.0,0.25,144.0,288.0,1.0,0.01358490124927776,10.375868476665914,0.24862530554197523,1.0,8.579693177094628,5.7536746685937645,0.652,0.357,0.0,1.8756979419615674,2.138465640886935,0.23065479691540894
976682530.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0009067480780933094,10.090135486509125,0.19212514143011566,1.0,33.209067286692374,21.988942694718034,0.652,0.357,0.0,7.16839531847808,8.172620306246637,0.23065479691540894
701832835.0,12.0,12.0,0.25,144.0,288.0,1.0,0.017521154392136522,10.440994826174494,0.2509247069147955,1.0,7.554724679031947,5.068904670508998,0.652,0.357,0.0,1.6524629225859335,1.883957487896008,0.23065479691540894
481506264.0,12.0,12.0,0.25,144.0,288.0,1.0,0.002991716259251564,10.783534549676551,0.30801977420907106,1.0,18.282677525570985,12.421514757010796,0.652,0.357,0.0,4.049413810785519,4.616698726577424,0.23065479691540894
297833266.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0006055849082897201,14.06546731145354,0.08224775318056605,1.0,40.636142834862774,26.22368243943365,0.652,0.357,0.0,8.54892047525537,9.746544096481715,0.23065479691540894
542427835.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0005744046992865626,10.008842542626889,0.186739749343052,1.0,41.72448720204019,27.59335798799494,0.652,0.357,0.0,8.99543470408635,10.255610783159215,0.23065479691540894
661867095.0,12.0,12.0,0.25,144.0,288.0,1.0,0.026651976917239955,10.349114957497777,0.130273393775863,1.0,6.125411728683026,3.998231673104229,0.652,0.357,0.0,1.3034235254319786,1.4860209430869635,0.23065479691540894
359509036.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0019846234803641755,10.508840957948035,0.3007543242870311,1.0,22.447135976844354,15.2268846815451,0.652,0.357,0.0,4.9639644061837025,5.659369287417532,0.23065479691540894
150519870.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0007277348400125609,10.279296808462307,0.238258212706256,1.0,37.06921732233631,24.801817508189785,0.652,0.357,0.0,8.08539250766987,9.218080205736532,0.23065479691540894
290454697.0,12.0,12.0,0.25,144.0,288.0,1.0,0.03118540254322113,10.187577036995435,0.2509086148391178,1.0,5.662710023859182,3.7994282921099325,0.652,0.357,0.0,1.238613623227838,1.4121317811103509,0.23065479691540894
223753578.0,12.0,12.0,0.25,144.0,288.0,1.0,0.029843723045036654,9.945830740820918,0.13396893585911326,1.0,5.788599456480045,3.781660557293747,0.652,0.357,0.0,1.2328213416777616,1.4055280552118046,0.23065479691540894
286689142.0,12.0,12.0,0.25,144.0,288.0,1.0,0.003027265383089095,9.882549012661432,0.3121823940179619,1.0,18.17501393990766,12.35949697155502,0.652,0.357,0.0,4.029196012726937,4.593648604531944,0.23065479691540894
228923008.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0008287343286163378,9.940365496446713,0.23770583936883996,1.0,34.73700214865798,23.238539552367463,0.652,0.357,0.0,7.575763894071793,8.637057400618659,0.23065479691540894
202315208.0,12.0,12.0,0.25,144.0,288.0,1.0,0.005493820953445306,9.90456731708295,0.25791240508915364,1.0,13.491578023470616,9.066325183644512,0.652,0.357,0.0,2.955622009868111,3.3696769475272195,0.23065479691540894
631765235.0,12.0,12.0,0.25,144.0,288.0,1.0,0.013484476443002666,10.128798390409413,0.25502036101607123,1.0,8.611582281965253,5.783266254541295,0.652,0.357,0.0,1.8853447989804621,2.149463932144792,0.23065479691540894
613710653.0,12.0,12.0,0.25,144.0,288.0,1.0,0.0016081752392925926,10.085887050073381,0.08706751727708896,1.0,24.93637466089786,16.11077979618151,0.652,0.357,0.0,5.252114213555172,5.987886181692987,0.23065479691540894
899258041.0,12.0,12.0,0.25,144.0,288.0,1.0,0.004335137834489566,9.959331080246445,0.30969273661346236,1.0,15.187928531408959,10.322636798641497,0.652,0.357,0.0,3.365179596357128,3.8366097127012444,0.23065479691540894
533679335.0,12.0,12.0,0.25,144.0,288.0,1.0,0.004652979882798671,10.142447805584169,0.24104203007077585,1.0,14.660014929036693,9.814640833630664,0.652,0.357,0.0,3.1995729117635965,3.647803083988889,0.23065479691540894
