ax,ay,Kxx,Kyy,Kxy,R,var_Kxx,var_Kyy,var_Kxy
0.9,0.8,0.0061355713856363885,0.006323705280199003,-0.005904901717669901,0.9702494208337468,2.5950192498419355e-08,3.1112671129754165e-08,3.4711869250930316e-08
0.9,0.8500000000000001,0.006192764847175101,0.006211099145732711,-0.005874398788295479,0.9970481394472335,2.395656088059799e-08,2.954002111634526e-08,3.42610146275774e-08
0.9,0.9,0.006301976721022389,0.006149928146451092,-0.0059068642315676075,1.024723634317425,2.3736343323666868e-08,2.5228016739108212e-08,2.8630186168071555e-08
0.9,0.95,0.006345316587354567,0.006045692524242475,-0.00585967339227782,1.04955992417918,2.8134889254746262e-08,2.3923426180487606e-08,2.9515052877316876e-08
0.9,1.0,0.006460564529241814,0.0060019122293426255,-0.005894220693146533,1.076417695289993,2.992488845741895e-08,2.8189150847917978e-08,3.354556989428814e-08
0.9,1.05,0.0064755701502564045,0.0058813953481921906,-0.005820892974540356,1.101026162481468,2.231266610339867e-08,2.442558969020921e-08,2.5754260038640336e-08
0.9,1.1,0.006532828490531354,0.005792133654350955,-0.00578973427397424,1.1278794448439569,3.0653257347405967e-08,2.845880074193445e-08,3.289200755158194e-08
0.9,1.15,0.0064988257045208555,0.005640640918014342,-0.00566979775849203,1.1521431339062471,3.0099670930696673e-08,2.6717915506203904e-08,3.315706283094606e-08
0.9,1.2,0.006582639935176948,0.00556801889566395,-0.005659741106171178,1.1822229878391983,3.263429838567987e-08,2.9584063767100657e-08,3.406624013415365e-08
0.9,1.25,0.006651160386102209,0.005491143043174591,-0.005632941946643427,1.2112524357509684,2.4947245379238095e-08,3.2455558130890176e-08,3.1732255008540674e-08
0.9,1.2999999999999998,0.006680982039040837,0.005376377559063171,-0.005563635690227778,1.2426549225097563,3.727260289305868e-08,3.6101683738799014e-08,3.9305926034049776e-08
0.9,1.3499999999999999,0.006718954577912345,0.005264598342455116,-0.005496058146761244,1.27625207866836,4.2519915256174225e-08,4.2146698791926714e-08,4.5507606033671756e-08
0.9,1.4,0.006788701789488089,0.005168836280517928,-0.005453371429935698,1.3133907558797446,3.0494301238293974e-08,3.970105045966111e-08,4.0600149996252324e-08
0.9500000000000001,0.8,0.006045179255095708,0.006399080526215482,-0.005889985664011908,0.9446949808382741,2.3359800717268494e-08,3.2134977050918326e-08,3.42058319562731e-08
0.9500000000000001,0.8500000000000001,0.0061327821723653276,0.006299456375376091,-0.0058885912745627505,0.9735414942053929,2.8775830710576622e-08,3.403013115887978e-08,3.9174876816193985e-08
0.9500000000000001,0.9,0.006226437833887622,0.006227587234371863,-0.005906337229138653,0.9998154340612209,1.9038593172489113e-08,2.686615997059726e-08,2.810623139222115e-08
0.9500000000000001,0.95,0.006300852500498653,0.00614990564364832,-0.005906226108203865,1.0245445809410478,2.3719113485741402e-08,2.51262025940153e-08,2.8591753491509995e-08
0.9500000000000001,1.0,0.006359038741187077,0.006061991633228264,-0.005877113172338608,1.0490015700995983,2.6375916879765696e-08,2.237035767004447e-08,2.6655675942563076e-08
0.9500000000000001,1.05,0.006445955976711477,0.006002931538667213,-0.005885572657456213,1.073801347756604,2.1915514294341378e-08,2.1848503617736274e-08,2.482094234113269e-08
0.9500000000000001,1.1,0.006473377288244359,0.00589745037293037,-0.005833106890606915,1.097656932893836,2.967458932843289e-08,2.8554287423586454e-08,3.3059560012659005e-08
0.9500000000000001,1.15,0.006497523929697893,0.005795636160649805,-0.0057759880311982125,1.1211062512539423,2.881353048500668e-08,2.4361601799314987e-08,2.951423981158217e-08
0.9500000000000001,1.2,0.006495135381631378,0.005674574071645072,-0.005692045330638992,1.14460315428545,4.6210705570751424e-08,3.779906632580596e-08,4.654405056491903e-08
0.9500000000000001,1.25,0.006554396300443735,0.005588467785925177,-0.005659720171111763,1.1728431748235706,2.392414296433367e-08,2.4278242792650426e-08,2.598170431571223e-08
0.9500000000000001,1.2999999999999998,0.006639802745474457,0.005532501954782713,-0.005658609267899845,1.200144672291441,3.0071871352231565e-08,3.5423176268054464e-08,3.865305412203043e-08
0.9500000000000001,1.3499999999999999,0.006668722180769925,0.005425101872102648,-0.00559309360638319,1.229234461948505,3.733199897891929e-08,3.8932458499386745e-08,4.189791263088123e-08
0.9500000000000001,1.4,0.006718106363738185,0.005328320730275106,-0.0055407530408357495,1.2608299507134442,3.51344949665243e-08,3.8250397146592544e-08,4.029635858938572e-08
1.0,0.8,0.005888473265461908,0.0064002762248399105,-0.005796678945666842,0.9200342389299292,2.85185603288327e-08,4.0772809671203015e-08,4.234115847316191e-08
1.0,0.8500000000000001,0.006047343890514768,0.006373406028350704,-0.005875595682272792,0.9488402062593346,2.1276302359785574e-08,3.192561850832021e-08,3.366823032555038e-08
1.0,0.9,0.006167542945844804,0.006316296353089371,-0.005922646216204269,0.9764492672716647,2.7473167487678764e-08,3.4692698066542724e-08,3.910352621153787e-08
1.0,0.95,0.006228301551253787,0.006221200653934756,-0.0059018894197066995,1.0011414030368142,1.677829171523691e-08,2.3518178896536285e-08,2.4373040455591764e-08
1.0,1.0,0.0063015759655702394,0.006150461477766533,-0.005906899873670057,1.024569617800221,2.3758778052498976e-08,2.533389084563494e-08,2.859053600287266e-08
1.0,1.05,0.0063672667430661346,0.006073428348202097,-0.0058905899297915934,1.0483809766111791,2.0683605773359155e-08,1.768213617481721e-08,2.03147903460835e-08
1.0,1.1,0.0064391179727126425,0.006011041820230943,-0.005891790602885266,1.0712149682673897,2.747874665550284e-08,2.7588739038383056e-08,3.199491755094889e-08
1.0,1.15,0.0064930467910281975,0.0059343119196225355,-0.005865934229562346,1.0941532698269762,2.369408127903456e-08,2.3631578374544493e-08,2.7181640890976976e-08
1.0,1.2,0.006480819998310025,0.00580694837173923,-0.005778215912575615,1.1160457409696178,2.369843880757502e-08,2.0030614109534296e-08,2.392280428169013e-08
1.0,1.25,0.006525302665030359,0.005723408939251834,-0.005738031906329254,1.1401077110319762,4.0615792163411546e-08,3.3501731389776135e-08,4.066995119891539e-08
1.0,1.2999999999999998,0.006534402232937478,0.005618256609828329,-0.005671590982781454,1.1630658203661408,2.9366126555082247e-08,2.9148089329410203e-08,3.3126605670246695e-08
1.0,1.3499999999999999,0.006624534666366349,0.0055651485880771024,-0.005675044060888516,1.190360789388247,2.9672187718942675e-08,3.307606483756923e-08,3.5707808296913334e-08
1.0,1.4,0.006661786291633989,0.005466680530601396,-0.005619930262412055,1.2186163530761724,3.769133550703071e-08,3.649391763698986e-08,4.043483917134113e-08
1.05,0.8,0.0058079717322283885,0.006483242678525321,-0.005784597430604707,0.8958436418655656,1.866727477450399e-08,2.6388577651072804e-08,2.8035294570633113e-08
1.05,0.8500000000000001,0.005934132044433176,0.006412505829899778,-0.005832126872828947,0.9253998673597964,2.3947088278033133e-08,3.3606112156620884e-08,3.634652890431333e-08
1.05,0.9,0.0060412998381245715,0.006342385160738517,-0.005855963801594904,0.9525280608188598,2.4657579391760705e-08,3.046728978435063e-08,3.39224056483405e-08
1.05,0.95,0.006188793876623551,0.006324489618212266,-0.0059371956332938325,0.9785443964999232,2.3918582402004245e-08,3.253828558468638e-08,3.474113967225552e-08
1.05,1.0,0.006234032686692551,0.006220743506220376,-0.005907104608344912,1.002136268833281,1.8926151559377245e-08,2.339652879970067e-08,2.4834353260278914e-08
1.05,1.05,0.006301575126278789,0.006148743052508356,-0.005905952894595198,1.0248558237781762,2.2984513910504515e-08,2.5085665903051537e-08,2.8195609226280575e-08
1.05,1.1,0.00636989801381303,0.006082247766466287,-0.0058979972653164184,1.047293411645061,2.1009704009116625e-08,1.8375644907827438e-08,2.0678765547496902e-08
1.05,1.15,0.0064402688169755105,0.006023803217190246,-0.005897331575169688,1.069136654165061,2.7702393655888314e-08,2.7081910514397913e-08,3.232443065697639e-08
1.05,1.2,0.006495822080089236,0.0059523249005746,-0.005877881541198219,1.0913083859824535,2.0477993590988093e-08,2.0677026187657978e-08,2.232203607238192e-08
1.05,1.25,0.006473213953550252,0.005822008109395715,-0.005779505697055338,1.1118524453965641,2.5888040989924606e-08,2.13654665182721e-08,2.6632108456011726e-08
1.05,1.2999999999999998,0.006521417880975613,0.005745553019611358,-0.00575379453791623,1.1350374557011287,4.596927880823296e-08,3.946256109695807e-08,4.6495239417839375e-08
1.05,1.3499999999999999,0.006533375629450917,0.005651077940283038,-0.0056947358609125125,1.1561290958099382,2.604665753405311e-08,2.6159309369749154e-08,2.897820689083048e-08
1.05,1.4,0.006583883050162905,0.005568266176236826,-0.005660807448396608,1.1823937365387331,3.2698877916690585e-08,2.9305380016609656e-08,3.39740758461982e-08
1.1,0.8,0.005678728578306247,0.006518401576419116,-0.005712181370682877,0.8711842177458874,3.2263083670361514e-08,4.0224920496278555e-08,4.6721910482405444e-08
1.1,0.8500000000000001,0.005829807398831111,0.006456995510911402,-0.005786909928509195,0.9028668811956841,1.7945837463609582e-08,2.3526769603117844e-08,2.6235174954445317e-08
1.1,0.9,0.005966623809985499,0.006410023207222244,-0.005848435153337774,0.9308271775463837,2.4048335129695464e-08,3.6185560668213925e-08,3.832134182606779e-08
1.1,0.95,0.006083382641269367,0.006356054284604937,-0.005891471902033239,0.9571004854385824,2.5073425187189353e-08,2.9674576994621142e-08,3.3250930690018683e-08
1.1,1.0,0.006206651409962347,0.006326086087188423,-0.005946975318053455,0.981120288978053,2.372890890349882e-08,3.234746882214506e-08,3.400582871215381e-08
1.1,1.05,0.006246798000583202,0.006225219896650137,-0.005915004399951462,1.003466239633507,2.0317453843720027e-08,2.4870013819628134e-08,2.7286456138263216e-08
1.1,1.1,0.006302426165750574,0.006150568715901452,-0.005907580377446338,1.0246899850832518,2.3701794312393424e-08,2.5386463635999988e-08,2.8695732403978628e-08
1.1,1.15,0.006368442122548978,0.006087464229506251,-0.005901464772334033,1.0461568039580116,2.0482485307052686e-08,1.9475974655082067e-08,2.1740147669320487e-08
1.1,1.2,0.006420613117700208,0.00601773785982234,-0.005880413390744595,1.066947957399022,2.7239000891394392e-08,2.339366763823512e-08,2.9902420345767306e-08
1.1,1.25,0.006484027875855065,0.005957083583055728,-0.005878379011297812,1.0884567566414836,2.081841407228211e-08,1.977445633695294e-08,2.2707217980282187e-08
1.1,1.2999999999999998,0.006463836806243094,0.005836938488477899,-0.005785980422236085,1.107401905811187,2.5891108423152532e-08,2.220631695902612e-08,2.6348831443878698e-08
1.1,1.3499999999999999,0.006531600675738044,0.005780965424753343,-0.005780748232131003,1.1298460024982295,3.368610936876579e-08,3.230759853937247e-08,3.569648728971747e-08
1.1,1.4,0.006507878682684345,0.005659384637563622,-0.005685002086557116,1.1499269089237945,2.7267772126769664e-08,2.554744647891107e-08,2.9750262937419214e-08
1.15,0.8,0.005554886745546644,0.006556524355381341,-0.005648169229105337,0.8472303989822608,4.3538790536384854e-08,5.4814036894464055e-08,6.376440276055835e-08
1.15,0.8500000000000001,0.005711750520320574,0.006497703257476382,-0.005728168422009565,0.8790414541859116,3.48128541233741e-08,4.589774989388378e-08,5.191560783116727e-08
1.15,0.9,0.005832991751621939,0.006416925941765927,-0.00577090213142589,0.9090009460225608,1.9791677929134526e-08,2.6522448895079486e-08,2.9007607354466094e-08
1.15,0.95,0.005971962520779779,0.006385794434473011,-0.005837316479473304,0.9351949208607145,2.796083551179659e-08,3.910144420379895e-08,4.3373318267670607e-08
1.15,1.0,0.006099818298223375,0.006358215415771941,-0.005900216411662243,0.9593601190504499,1.9864943290813818e-08,2.7613304927738334e-08,2.8673187176028122e-08
1.15,1.05,0.006189150933101001,0.0063009822686351654,-0.0059200930818519475,0.982251761587898,2.375453462868779e-08,3.31620177430406e-08,3.541306899224866e-08
1.15,1.1,0.006242707702555175,0.006215922366462828,-0.0059065608720719615,1.0043091490712406,2.3363538479364497e-08,2.695699310756824e-08,3.054963851534877e-08
1.15,1.15,0.0063020989061169765,0.006149639701104468,-0.0059067261015138565,1.024791567054754,2.3705858704254273e-08,2.518707726070938e-08,2.870743839641884e-08
1.15,1.2,0.006358363346871879,0.006084025498466859,-0.005894349526302134,1.04509150207772,2.2114040059493726e-08,2.1797621322343324e-08,2.378408514791669e-08
1.15,1.25,0.006425573532333498,0.006036092781575699,-0.005894415997936115,1.0645253088134485,2.4922050257033093e-08,2.3968715076870496e-08,3.072419512046599e-08
1.15,1.2999999999999998,0.006469614139354844,0.005960118692892211,-0.005870873404249286,1.0854841107560889,1.9920615206476424e-08,2.2063661588301426e-08,2.3933066371053312e-08
1.15,1.3499999999999999,0.006460727124315185,0.0058517888975325675,-0.005794508704220024,1.104060183551628,2.304581265919703e-08,2.1220064094907932e-08,2.592552960730731e-08
1.15,1.4,0.006521247347296637,0.005797525683858506,-0.005790546317040266,1.124832851616875,2.8624298064893402e-08,2.724763524159154e-08,2.9667854185127155e-08
1.2,0.8,0.0054418748294993834,0.006609495879561011,-0.005593452644047482,0.8233418900112578,4.345331331098772e-08,5.500837333604227e-08,6.265471248458361e-08
1.2,0.8500000000000001,0.005611167830461204,0.006544372344362819,-0.005681082824302365,0.8574035117813159,3.6955407223254614e-08,4.431894177722964e-08,5.171017775694255e-08
1.2,0.9,0.005776172360052503,0.006510929500714516,-0.005774590781594189,0.8871501925214549,2.6506294679726695e-08,3.848051642856194e-08,4.239229425465021e-08
1.2,0.95,0.005865294050011835,0.006409546215235675,-0.005784570843722474,0.9150872547060919,2.9375123070254636e-08,4.100510258416048e-08,4.2504171206433086e-08
1.2,1.0,0.005999494435653582,0.00638546346320993,-0.005852358305265197,0.9395550487791338,2.4650710173878206e-08,3.297154637430999e-08,3.5918070370894976e-08
1.2,1.05,0.006117495706616107,0.006353233436266501,-0.005910686541538278,0.9628948421279911,2.2543791697829082e-08,2.996467268059177e-08,3.2402007084124235e-08
1.2,1.1,0.0061658639149950595,0.006268184277575586,-0.005889172926931665,0.9836762357248211,2.1894083641391976e-08,2.8569579190355777e-08,3.19895240663021e-08
1.2,1.15,0.006223236510927813,0.006193405963225762,-0.00588187849799842,1.0048165012723491,1.8871580566393356e-08,2.3077490653133602e-08,2.604522044938719e-08
1.2,1.2,0.006302601348198053,0.006149320084529246,-0.00590686620233147,1.024926538472837,2.3278465848643707e-08,2.5190875375417007e-08,2.8432880727130985e-08
1.2,1.25,0.00634807266254055,0.006080657030914279,-0.005883906265013325,1.0439780816886597,2.5296081310681735e-08,2.4328086618344056e-08,2.6784451491150954e-08
1.2,1.2999999999999998,0.0064214012207325505,0.006039195111085592,-0.005893354118958062,1.063287590915117,2.466688080827073e-08,2.3328264891091472e-08,2.8108953731540463e-08
1.2,1.3499999999999999,0.0064803618998982935,0.005982032118008301,-0.005890639525880031,1.0833044310126356,2.625374403414323e-08,2.625637497649388e-08,2.9788853983895468e-08
1.2,1.4,0.006476214137601369,0.005881344216773239,-0.005821329920383723,1.1011452312434964,2.228534896009644e-08,2.4517171114400222e-08,2.5969334053296395e-08
1.25,0.8,0.005307357748574721,0.006630043102818359,-0.005502518773461177,0.8005012435467608,4.64694745047265e-08,5.226469339133496e-08,6.193555664783819e-08
1.25,0.8500000000000001,0.005502482496421517,0.006590189199683883,-0.0056274148204732725,0.8349506106266963,3.969951744327358e-08,5.672952250903535e-08,6.034889423600207e-08
1.25,0.9,0.005644819249177051,0.006521108505873203,-0.005692336600525502,0.8656226535861309,4.077413848789271e-08,4.8758550316616564e-08,5.7535359800631355e-08
1.25,0.95,0.005802977401848571,0.006490388879627998,-0.005785284054517673,0.894087782638561,1.6951572502142712e-08,2.3047413843350115e-08,2.5608318645340422e-08
1.25,1.0,0.005889024264539703,0.006399396227159407,-0.00579641036665163,0.9202468569685285,2.8619795565461413e-08,4.043456298418373e-08,4.219142810320409e-08
1.25,1.05,0.006040266706277603,0.006401264469503956,-0.005888097593555411,0.9436052415977859,2.3746297195449777e-08,3.257890179196065e-08,3.411978175815591e-08
1.25,1.1,0.00610771405315814,0.006331177303381299,-0.005892672993592738,0.9647043133504075,3.072730878966642e-08,3.752307932423565e-08,4.224469454210921e-08
1.25,1.15,0.006146325319068469,0.00623696583535042,-0.005859208064517897,0.985467209749938,2.5044648696498233e-08,3.063263032290555e-08,3.4827228185255136e-08
1.25,1.2,0.006193015927220388,0.0061608360556743,-0.0058461897104332425,1.0052232961979972,3.68592494316209e-08,3.4858319947571946e-08,4.275567714188371e-08
1.25,1.25,0.006302228264638956,0.006148946742157356,-0.005906181940097304,1.0249280940149794,2.3443887607998888e-08,2.484474340969852e-08,2.8350877060541773e-08
1.25,1.2999999999999998,0.006339523710095514,0.006076076485094454,-0.0058746673205128915,1.043358115331059,2.5807504301267116e-08,2.4091241316783994e-08,2.6199034833848363e-08
1.25,1.3499999999999999,0.0064100427340482114,0.00603553347840158,-0.005887869647290961,1.0620507295646406,2.7956904482796977e-08,2.598106841379616e-08,3.009067857564029e-08
1.25,1.4,0.006480756438805863,0.005996224911034277,-0.005899777169587014,1.0808060963290334,2.7868163909521417e-08,2.854643368239348e-08,3.2161833416586053e-08
1.3,0.8,0.00517323871339819,0.006687153656588537,-0.005429807715524529,0.7736084706684198,4.9919323815087085e-08,4.733661161331168e-08,6.092307855947924e-08
1.3,0.8500000000000001,0.005377176063590301,0.006605627364368553,-0.0055433236784822705,0.8140295791729569,4.3306850444357584e-08,5.133364492000128e-08,5.8074762622354645e-08
1.3,0.9,0.0055018462480989,0.006519789962470748,-0.0055942054579090975,0.8438686337702072,6.935601510182411e-08,8.699296372296928e-08,1.0202660837023909e-07
