species,m_GeV,logm,q_target,z_target,ax,ay,z_pred,abs_err,ok,note,expansions
u,0.0022,-6.119297918617867,0.1920468054254755,-0.8665062615216998,2.5296000000000003,0.75215625,-0.8665417370680213,3.5475546321439566e-05,False,local_min_interior,0
d,0.0047,-5.360192770266124,0.2426538153155917,-0.6583704128287708,2.4696000000000002,0.743625,-0.6583945278454111,2.4115016640235964e-05,False,local_min_interior,0
s,0.095,-2.353878387381596,0.44307477417456026,0.030759225246451916,2.6317125,0.8260000000000001,0.030748025137300107,1.1200109151808524e-05,False,local_min_interior,0
e,0.000511,-7.57914096776057,0.09472393548262861,-1.1664897364289741,2.4894,0.7250624999999999,-1.1665084134648196,1.867703584546021e-05,False,local_min_interior,0
mu,0.10566,-2.2475288872459673,0.45016474085026886,0.05680114836901411,2.439,0.7725,0.05677790032693132,2.3248042082785192e-05,False,local_min_interior,0
c,1.27,0.23901690047049992,0.6159344600313666,0.5942226888557718,2.4800999999999997,0.81425,0.5942977768881447,7.508803237288308e-05,False,local_min_interior,0
tau,1.77686,0.5748477616006503,0.6383231841067101,0.6714935168927125,2.553,0.8375,0.6715649425319122,7.142563919970701e-05,False,local_min_interior,0
b,4.18,1.430311246536665,0.6953540831024444,0.8662716277472691,2.4684,0.8274999999999999,0.8662447222613615,2.6905485907557924e-05,False,local_min_interior,0
t,172.76,5.1519033480925005,0.9434602232061666,1.7174714593735536,2.5428,0.8974375,1.7173997223720563,7.173700149731843e-05,False,local_min_interior,0
