m0,nu,minabs
-2.0,0.0,0.28176342313701425
-1.95,0.0,0.26933762352790513
-1.9,0.0,0.25849781245965714
-1.85,0.0,0.24913602693502548
-1.8,0.0,0.24107979411235128
-1.75,0.0,0.23411577828855332
-1.7,0.0,0.2280123766585894
-1.65,0.0,0.2225385642681223
-1.6,0.0,0.21747747770659748
-1.55,0.0,0.2126345430312881
-1.5,0.0,0.20784095118794277
-1.45,0.0,0.20295378994951674
-1.4,0.0,0.19785421191966665
-1.35,0.0,0.19244481650328366
-1.2999999999999998,0.0,0.18664711616586496
-1.25,0.0,0.18039966222242923
-1.2,0.0,0.1736571839297534
-1.15,0.0,0.16639096304227496
-1.1,0.0,0.15859061473789424
-1.0499999999999998,0.0,0.15026745637128064
-1.0,0.0,0.14145970004525926
-0.95,0.0,0.13223978736704314
-0.8999999999999999,0.0,0.12272427059637417
-0.8499999999999999,0.0,0.11308667536481724
-0.7999999999999998,0.0,0.10357361288843694
-0.75,0.0,0.09452372941571803
-0.7,0.0,0.08638729989927821
-0.6499999999999999,0.0,0.07974056647955452
-0.5999999999999999,0.0,0.07528289647434575
-0.5499999999999998,0.0,0.07379868283461785
-0.5,0.0,0.07606766062778522
-0.44999999999999996,0.0,0.0827289677097845
-0.3999999999999999,0.0,0.09414434874216351
-0.34999999999999987,0.0,0.11032957025951964
-0.2999999999999998,0.0,0.13099096817361516
-0.25,0.0,0.15563755170299481
-0.19999999999999996,0.0,0.18370465557850751
-0.1499999999999999,0.0,0.21464389197771064
-0.09999999999999987,0.0,0.24796983628458974
-0.04999999999999982,0.0,0.2832745932221607
0.0,0.0,0.3202247903116279
0.050000000000000266,0.0,0.3585514116399234
0.10000000000000009,0.0,0.39803813517805253
0.1499999999999999,0.0,0.4385106527400959
0.20000000000000018,0.0,0.4798277627367528
0.25,0.0,0.521874269038505
0.30000000000000027,0.0,0.5645554425216782
0.3500000000000001,0.0,0.6077927417074594
0.40000000000000036,0.0,0.6515205132686103
0.4500000000000002,0.0,0.695683442470485
0.5,0.0,0.7402345736959608
