sector,alpha,beta,r2,n
lepton,4.425381820236413,-2.4375104240472956,0.9998290844164548,3
up,4.3617890447896075,-2.343845984544568,0.9999983944474895,3
down,4.456166978988309,-2.4489603452630764,0.9998858270038606,3
neutrino,14011.21028785803,20313.646078107715,0.9949019055206562,3
