species,m_GeV,logm,q_target,z_target,ax,ay,z_pred,abs_err,ok,note,expansions
mu,0.10566,-2.2475288872459673,0.45016474085026886,0.05680114836901411,2.604,0.8175,0.05666362975017791,0.00013751861883619376,False,local_min_interior,0
t,172.76,5.1519033480925005,0.9434602232061666,1.7174714593735536,2.457,0.855,1.7174149824612344,5.6476912319247674e-05,False,local_min_interior,0
e,0.000511,-7.57914096776057,0.09472393548262861,-1.1664897364289741,2.52,0.733,-1.1664111533699666,7.858305900754203e-05,False,local_min_interior,0
