species,m_GeV,logm,q_target,z_target,ax,ay,z_pred,abs_err,ok,note,expansions
H,125.1,4.829113417472866,0.921940894498191,1.6830744610458144,2.5671,0.9014375,1.6831227884578508,4.832741203641966e-05,False,local_min_interior,0
W,80.4,4.387014176184921,0.8924676117456614,1.5538675472927237,2.484,0.8775000000000001,1.553933130394486,6.5583101762412e-05,False,local_min_interior,0
Z,91.2,4.513054897080286,0.900870326472019,1.595805142840617,2.5667999999999997,0.89565625,1.5957476715110832,5.747132953382028e-05,False,local_min_interior,0
