seed,Lx,Ly,ax,ay,V,E,F,Kxx,Kyy,Kxy,R,sin2,g,gp,v,mW,mZ,mA,rho
2025,16,16,1.32,1.09,256,831,579,0.0035500216846915383,0.002389244351674948,-4.966867423696749e-06,1.4858344991808154,0.5977206043565889,105.45431753399853,128.54334123576592,246.0,12970.88105668182,20450.577776965536,0.0,1.0000000000000004
2122,16,16,1.32,1.09,256,831,579,0.0016393843449739396,0.0019653297174301795,-0.0001063331712850759,0.8341523208215471,0.454789011442581,155.18133245252474,141.73012097143547,246.0,19087.303891660544,25850.103593967477,0.0,0.9999999999999999
2219,16,16,1.32,1.09,256,827,575,0.007390309464110033,0.002381334161993341,-0.0003679239939372835,3.103432345640997,0.7563015749334135,73.0884170583807,128.75665846719144,246.0,8989.875298180827,18210.72794034466,0.0,1.0000000000000004
2316,16,16,1.32,1.09,256,827,575,0.003374004938411576,0.0027652957589697313,2.405405870196473e-06,1.2201244396616122,0.549574797639533,108.17004525438858,119.48381329980447,246.0,13304.915566289796,19824.43331012728,0.0,0.9999999999999997
2413,16,16,1.32,1.09,256,828,576,0.002874882347921289,0.002313881498623008,-0.0005245073508894448,1.2424501209902636,0.5540592004078105,117.18440796197828,130.6198893657316,246.0,14413.682179323328,21584.21893640151,0.0,1.0000000000000002
2510,16,16,1.32,1.09,256,828,576,0.0034333265678990407,0.0018536021399681952,-0.00036095050900378673,1.8522456863142978,0.6493990665677154,107.23148274841157,145.93908105501816,246.0,13189.472378054623,22275.162896893213,0.0,0.9999999999999998
2607,16,16,1.32,1.09,256,825,573,0.0032775096421439817,0.0010125225476447723,3.6167403742462277e-07,3.236974475055191,0.7639825290694077,109.75084668711948,197.459265292676,246.0,13499.354142515696,27786.95224095199,0.0,0.9999999999999997
2704,16,16,1.32,1.09,256,828,577,0.0034753128448423948,0.0013472877322508595,-0.0002261813627442796,2.579488227831132,0.7206304543133207,106.58176688756004,171.17868693359506,246.0,13109.557327169885,24802.6734979917,0.0,1.0
2801,16,16,1.32,1.09,256,825,573,0.004145176536623864,0.0022489087303027375,-3.116700206588141e-06,1.843194648484405,0.6482829620782169,97.59068193957395,132.4933109819432,246.0,12003.653878567597,20240.291397420868,0.0,0.9999999999999996
2898,16,16,1.32,1.09,256,828,576,0.005465558717806206,0.0017703721020200563,-4.073141309952778e-06,3.0872372602176754,0.7553359552347734,84.98897395297952,149.3301803938391,246.0,10453.643796216482,21134.044717544868,0.0,1.0000000000000007
2995,16,16,1.32,1.09,256,828,576,0.005323189088141707,0.003023557976049611,5.281764849077795e-06,1.760571198008463,0.6377561278906981,86.11799731976832,114.26697175895609,246.0,10592.513670331504,17599.426233496957,0.0,1.0000000000000002
3092,16,16,1.32,1.09,256,827,575,0.001119771784720273,0.0023994034969983,-9.494967061378002e-05,0.46668756885664664,0.31819153497049957,187.7652017575887,128.27092442166386,246.0,23095.11981618341,27969.778379179144,0.0,1.0000000000000002
3189,16,16,1.32,1.09,256,826,574,0.00446741606794822,0.0014136910219109044,-0.00023154630454870682,3.1601078302878065,0.7596216154015369,94.00515447333291,167.1100689557403,246.0,11562.634000219949,23583.544203804715,0.0,1.0
3286,16,16,1.32,1.09,256,828,577,0.0023258872954535466,0.0022273568379827047,-5.0901894290721965e-06,1.0442364940321283,0.5108198083150532,130.28233543945808,133.13277012341803,246.0,16024.727259053343,22911.642020730098,0.0,0.9999999999999998
3383,16,16,1.32,1.09,256,825,573,0.00871731189523279,0.002372708275300295,-3.821129531180807e-07,3.6739922838299663,0.7860501388802938,67.29589539717443,128.9904909966571,246.0,8277.395133852455,17895.246414853285,0.0,1.0000000000000004
