species,d_ax,d_ay,ax,ay,z_pred,dz
W,-0.008,-0.008,2.476,0.8695,1.4615214406788368,-0.09234610661388687
W,-0.008,-0.004,2.476,0.8735,1.517535027856205,-0.03633251943651872
W,-0.008,0.0,2.476,0.8775000000000001,1.5727983763628082,0.018930829070084476
W,-0.008,0.004,2.476,0.8815000000000001,1.6273114861986429,0.07344393890591916
W,-0.008,0.008,2.476,0.8855000000000001,1.6810743573637161,0.12720681007099244
W,-0.004,-0.008,2.48,0.8695,1.4513053043240305,-0.1025622429686932
W,-0.004,-0.004,2.48,0.8735,1.5077640791175924,-0.046103468175131335
W,-0.004,0.0,2.48,0.8775000000000001,1.5634726152403964,0.009605067947672685
W,-0.004,0.004,2.48,0.8815000000000001,1.6184309126924248,0.06456336539970109
W,-0.004,0.008,2.48,0.8855000000000001,1.6726389714736847,0.11877142418096098
W,0.0,-0.008,2.484,0.8695,1.4408754442457408,-0.11299210304698293
W,0.0,-0.004,2.484,0.8735,1.4977794066554893,-0.05608814063723444
W,0.0,0.0,2.484,0.8775000000000001,1.55393313039448,6.558310175619475e-05
W,0.0,0.004,2.484,0.8815000000000001,1.609336615462702,0.05546906816997832
W,0.0,0.008,2.484,0.8855000000000001,1.6639898618601627,0.11012231456743904
W,0.004,-0.008,2.488,0.8695,1.4302318604439463,-0.12363568684877735
W,0.004,-0.004,2.488,0.8735,1.4875810104698957,-0.06628653682282803
W,0.004,0.0,2.488,0.8775000000000001,1.54417992182508,-0.009687625467643679
W,0.004,0.004,2.488,0.8815000000000001,1.6000285945094888,0.04616104721676506
W,0.004,0.008,2.488,0.8855000000000001,1.6551270285231432,0.1012594812304195
W,0.008,-0.008,2.492,0.8695,1.4193745529186828,-0.13449299437404094
W,0.008,-0.004,2.492,0.8735,1.4771688905608187,-0.07669865673190501
W,0.008,0.0,2.492,0.8775000000000001,1.5342129895321968,-0.019654557760526936
W,0.008,0.004,2.492,0.8815000000000001,1.5905068498328063,0.03663930254008263
W,0.008,0.008,2.492,0.8855000000000001,1.6460504714626474,0.09218292416992369
