ay,A,B,cA,cB,r,S_raw,w_star,S_star,err_star,z_pred,_source
0.7045,0.2175944137384249,0.2650779198682134,3.5957062169901226,2.7724756573356304,0.2599997559431279,0.2413361668033191,0.7176790984024415,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2176808205899828,0.264765868949233,3.593881984134792,2.776921866737072,0.2578898788331067,0.2412233447696079,0.7171250774047354,0.2309999999999999,-2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2174688499677883,0.2641220977556777,3.598359719785711,2.7861277359876,0.2558253846884211,0.240795473861733,0.7099633857490161,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2157220630012056,0.2668266349471702,3.635594459313192,2.747751794711172,0.2799895871290982,0.2412743489741879,0.7010455930450118,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2121605911541984,0.2707549294295125,3.7134106978105055,2.693376892923151,0.3211550230046691,0.2414577602918554,0.6784773170868174,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2139765602150995,0.2696859840485346,3.673409082727341,2.708016208287756,0.3049037959088362,0.2418312721318171,0.6944244148746066,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2152051976802787,0.267520039487359,3.646727917258104,2.738037725757934,0.2865887991542459,0.2413626185838188,0.6980818105506796,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2140425321464417,0.2689327181970012,3.671968650211206,2.71840215911353,0.3006836690034524,0.2414876251717215,0.6910655788643405,0.2309999999999999,-2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2165251489804001,0.2652036312891707,3.618401163601186,2.770687434176298,0.2669368001677186,0.2408643901347854,0.7026437486734891,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2136826285260187,0.2684077717975748,3.6798376026071606,2.725674533575616,0.3001526887402621,0.2410452001617967,0.6835573113431725,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2157396173746229,0.2665702461659554,3.635217268711204,2.751356403735479,0.2785748527103404,0.2411549317702891,0.6997797786837684,0.231,0.0,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2153025509987657,0.2674041827911241,3.644626807072679,2.739657284198596,0.2854211415106913,0.2413533668949449,0.6987148298196565,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
0.7045,0.2158996073547255,0.265629479258514,3.631782392994297,2.764642398846054,0.2728122498502894,0.2407645433066197,0.6963516681786565,0.231,2.775557561562892e-17,-2.115011715000991,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7045\cycle_rows_r.csv
