seed,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16
2025,4.779646956e-09,9.242937313e-09,0.01508170398,0.02886697475,0.02900654947,0.03284968353,0.03371223124,0.03876400906,0.03958074097,0.04458720225,0.04510922352,0.04605050898,0.04672195359,0.04728088245,0.04811109936,0.04935638437
2122,3.642709733e-09,9.242937313e-09,0.01966867939,0.02856482421,0.02861905688,0.03280106723,0.03395048467,0.03868849201,0.03929518583,0.04353491631,0.04429004117,0.04487854025,0.04519436027,0.04656663884,0.04737381953,0.04794108051
2219,4.691730656e-09,9.242937313e-09,0.01731694652,0.02901235551,0.02933916978,0.0329586644,0.03378787898,0.03881510753,0.03952276821,0.04446809294,0.04469833194,0.04546917394,0.04648648509,0.04751861224,0.04767386128,0.04803079481
2316,4.022897973e-09,9.242937313e-09,0.0153396048,0.02879019945,0.029051977,0.03294736251,0.03378688913,0.03879193024,0.03883471546,0.0442219459,0.04473968218,0.0453941908,0.04665447796,0.04754912966,0.04782785968,0.04901143117
2413,5.156743893e-09,9.242937313e-09,0.0184405653,0.02858809002,0.02883747687,0.03298474225,0.03382955923,0.03881471581,0.03936200005,0.04404547655,0.04516159896,0.04650293268,0.04725812569,0.04787887851,0.04833521081,0.04927081847
2510,4.750521375e-09,9.242937313e-09,0.01693194398,0.0286739012,0.02933756764,0.03287876076,0.03418103568,0.0391117152,0.03931277944,0.04405003447,0.0447750218,0.04583334928,0.04643406014,0.0469003167,0.04778690328,0.04830613712
2607,4.401770167e-09,9.242937313e-09,0.01616870506,0.02841877749,0.02888669734,0.03291321094,0.03350052155,0.0383636657,0.03918803208,0.04275208292,0.04436263214,0.04513657242,0.0459208095,0.04769813041,0.0482777465,0.04882041049
2704,3.446956642e-09,9.242937313e-09,0.01816676299,0.02834405696,0.02886207651,0.03297226726,0.03419552588,0.03914083558,0.03933658625,0.04405263248,0.04457767142,0.04613846245,0.04648835762,0.04716743921,0.04747660043,0.04879610129
2801,4.851691483e-09,9.242937313e-09,0.02210589807,0.02846445576,0.02882621753,0.0330305192,0.03359652251,0.03908931029,0.03940413322,0.04427040723,0.04483144109,0.04548384908,0.04613843694,0.04777193514,0.04853981605,0.0498374875
2898,3.810286661e-09,9.242937313e-09,0.01855555543,0.02883458839,0.02908884992,0.03303698028,0.03411289634,0.0391805559,0.03924078613,0.04449432295,0.04506444758,0.04631480544,0.04660637047,0.04734485879,0.04802388187,0.04911629467
2995,2.284781189e-09,9.242937313e-09,0.01561775883,0.0284054029,0.02880130544,0.03283195734,0.03337552826,0.03852845346,0.03917351371,0.04462596835,0.04481383421,0.0453702763,0.04569960373,0.04760820007,0.04798860489,0.04822449408
3092,5.681720493e-09,9.242937313e-09,0.02181228343,0.02841160618,0.02893575057,0.03259941502,0.03334347128,0.03825648783,0.03899591251,0.04427378353,0.04478290826,0.04519458911,0.04664183711,0.04682915563,0.04791639864,0.04900249009
3189,1.472097397e-09,9.242937313e-09,0.01801185141,0.02861428152,0.02914338414,0.03323765753,0.03380361626,0.03888028708,0.03922911281,0.04449906738,0.04497145101,0.04586890827,0.04683342105,0.0476871702,0.04821885626,0.04869436596
3286,3.882452862e-09,9.242937313e-09,0.01895100311,0.0286653518,0.02884883015,0.03299560211,0.03414149994,0.03888029386,0.03940426134,0.04430364001,0.04497939176,0.0453569002,0.04608296735,0.04632515635,0.04817289615,0.04938887765
3383,4.370127449e-09,9.242937313e-09,0.02024572722,0.02847919717,0.02888807061,0.03310941818,0.03425519841,0.03878921068,0.03949038723,0.04423256773,0.04509319318,0.04561338027,0.04663382386,0.04741486717,0.04759855531,0.04881790664
3480,3.718120709e-09,9.242937313e-09,0.01992966913,0.02890075827,0.02939805352,0.03290145631,0.033839752,0.03903388028,0.03929232392,0.0443288708,0.0449687245,0.04580294394,0.04657162061,0.04797659596,0.04829160098,0.04898530399
