dir,ax0,ay0,n_pts,s_med,s_MAD
C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\Predicted Masses\boson_refined_W,2.47675,0.87625,25,0.9863493205090291,1.6438183673472828e-05
C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\Predicted Masses\boson_refined_Z,2.5680500000000004,0.89590625,25,0.9874079175485772,1.3734196535497567e-05
C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\Predicted Masses\boson_refined_H,2.5591,0.8999375000000001,25,0.9870170787647896,1.4510199238593202e-05
