seed,Lx,Ly,jitter,NV,NF,rho_v,lambda1,kappa_rms,base_rho,base_spec,base_curv,base_all,sin2_geom,kappa_v,v_target,v_pred,g,gprime,mA,mW,mZ,sin2_SM,v2,rho_m12,v2_over_kappa,v_error
20250909,12,12,0.25,144,288,144,7.874221435564626,5.921189464667501e-16,5.241482788417793,2.239113232548355,1.0000000000000009,11.736273469720736,0.2347311660436958,17.12063302940837,246,200.93243120787005,0.652,0.357,0,65.50397257376564,74.68046509882461,0.2306547969154089,40373.84191110543,0.08333333333333333,6.8185357269888655e+19,-45.06756879212995
20251907,12,12,0.25,144,288,144,4.098399809479814,5.489089543709237e-16,5.241482788417793,3.103649765984101,1.0000000000000004,16.267726829682584,0.2318171743977446,17.12063302940837,246,278.5137812736563,0.652,0.357,0,90.79549269521196,103.51509010723746,0.2306547969154089,77569.92635935008,0.08333333333333333,1.4131656213961563e+20,32.51378127365632
20252905,12,12,0.25,144,288,144,21.9592098903426,5.874748045952208e-16,5.241482788417793,1.3408231925718492,1.0000000000000009,7.027901686176748,0.2301711276025597,17.12063302940837,246,120.32212573579244,0.652,0.357,0,39.22501298986833,44.72006961550308,0.2306547969154089,14477.413941579845,0.08333333333333333,2.4643463563607646e+19,-125.67787426420756
20253903,12,12,0.25,144,288,144,0.4152669064957384,5.827936558538462e-16,5.241482788417793,9.75026023145674,1.0000000000000009,51.10582118577502,0.2315095660720332,17.12063302940837,246,874.9640101882178,0.652,0.357,0,285.2383,325.19747475702417,0.2306547969154089,765562.0191246477,0.08333333333333333,1.313607331574379e+21,628.9640101882178
20254901,12,12,0.25,144,288,144,9.040998683558833,5.685189909856898e-16,5.241482788417793,2.089640925709327,1.0000000000000009,10.952816946078867,0.2302087927586216,17.12063302940837,246,187.5191595721016,0.652,0.357,0,61.13124602050513,69.69516054527664,0.2306547969154089,35163.4352066273,0.08333333333333333,6.1850942121847955e+19,-58.480840427898414
20255899,12,12,0.25,144,288,144,18.81846,5.233641528945917e-16,5.241482788417793,1.4483978392506738,1.0000000000000004,7.591752345213931,0.2243120020103996,17.12063302940837,246,129.97560595255808,0.652,0.357,0,42.372047540533934,48.30797420649737,0.2306547969154089,16893.658142734654,0.08333333333333333,3.2278974494718833e+19,-116.02439404744192
20256897,12,12,0.25,144,288,144,6.713879461585934,6.012996326510578e-16,5.241482788417793,2.424895895695563,1.0000000000000009,12.710050100993248,0.2346916169917347,17.12063302940837,246,217.6041035645002,0.652,0.357,0,70.93893776202707,80.87681796273995,0.2306547969154089,47351.54588810973,0.08333333333333333,7.874866924388837e+19,-28.395896435499793
20257895,12,12,0.25,144,288,144,22.87493389237942,6.280369834735102e-16,5.241482788417793,1.3137113271809335,1.0000000000000009,6.885795310368363,0.2273421946222638,17.12063302940837,246,117.88917462443789,0.652,0.357,0,38.43187092756675,43.81581578516599,0.2306547969154089,13897.857493631209,0.08333333333333333,2.2129043128584167e+19,-128.11082537556211
20258893,12,12,0.25,144,288,144,5.799031473052085,6.536816174520396e-16,5.241482788417793,2.609168552461409,1.0000000000000009,13.675912059807454,0.2287327578229586,17.12063302940837,246,234.14027171842372,0.652,0.357,0,76.32972858020615,87.02280804141378,0.2306547969154089,54821.66684037729,0.08333333333333333,8.386600659517481e+19,-11.859728281576281
20259891,12,12,0.25,144,288,144,2.891639952478639,5.733167046599011e-16,5.241482788417793,3.694943144053809,1.0000000000000009,19.36698089374038,0.2299367232842455,17.12063302940837,246,331.5749727692924,0.652,0.357,0,108.09344112278932,123.23631895900228,0.2306547969154089,109941.962566957,0.08333333333333333,1.9176479888576768e+20,85.5749727692924
