face,area,cx,cy,in_x,in_y
0,0.0038003872457771227,0.06160761693473941,0.02253302609337493,1,1
1,0.0037550008889832304,0.023108783994834473,0.059403797308026585,1,1
2,0.0028837483288065287,0.11172470801304674,0.019452879382960253,1,1
3,0.004620369286394902,0.13253538766509643,0.04912518955753087,1,1
4,0.0035478542952512918,0.22471817200297997,0.019493882263857065,1,1
5,0.003792548442060498,0.1935455103374746,0.046651651035682695,1,1
6,0.002863241254045253,0.28098387635575556,0.017823585346445237,1,0
7,0.004668740885683376,0.30558297917824606,0.0491175969098705,1,0
8,0.0030193606541216375,0.382656354837813,0.025547277189369222,1,0
9,0.0036426006824052345,0.3561024028789473,0.05269143556411149,1,0
10,0.0024643269439745185,0.43159255563961413,0.026100909900804176,1,0
11,0.006163030504536747,0.46502735514459953,0.054575238377327695,1,0
12,0.004962635910158937,0.5440997346815991,0.027780045280809462,1,0
13,0.0033261446628657454,0.5233258367216769,0.060959982032254834,1,0
14,0.005036974944029228,0.605882096725763,0.0350761433943354,1,0
15,0.003854483589165282,0.6362331690472945,0.06645126654965873,1,0
16,0.003163124206114601,0.7103330186792296,0.03365373669306953,1,0
17,0.0026902507580308967,0.6879585245910484,0.06410155971572513,1,0
18,0.005002810987487201,0.7662058720749961,0.024884051448888167,1,0
19,0.005580425045844322,0.8030883835700479,0.050488804466474635,1,0
20,0.002854546186159298,0.8941455593870864,0.02231907641398334,1,0
21,0.00387538071904947,0.868069633209522,0.04407705249896465,1,0
22,0.003210838355251517,0.9545046810476051,0.02798947446103056,1,0
23,0.0036279615570599297,0.9763100837948859,0.058127382293902796,1,0
24,0.002294176304238319,0.018846702039897023,0.11253955990464455,1,1
25,0.002496136173407308,0.04696395757583701,0.13070616158468515,1,1
26,0.00430961721453683,0.13397181548332546,0.10834223224964974,1,1
27,0.0036566121450498762,0.10277955842731074,0.13370729496977088,1,1
28,0.0035512295001851515,0.19498193815570364,0.10586869372780143,1,1
29,0.004771291643591348,0.22870860290283201,0.13847267219512435,1,1
30,0.0028228992750640447,0.3035015694747898,0.10760664972820068,1,0
31,0.003445075356470594,0.2814564697339223,0.13607438540392391,1,0
32,0.0021959825432068393,0.3540209931754911,0.11118048838244167,1,0
33,0.004276717549751667,0.3834377616556431,0.14239302103074034,1,0
34,0.003954421705021058,0.4697639072605027,0.11462881140224661,1,0
35,0.004060918804657994,0.43919192427680365,0.14451117394876425,1,0
36,0.0021749601506084663,0.52806238883758,0.12101355505717382,1,0
37,0.002348810342991284,0.54553631125576,0.14648378828904066,1,0
38,0.0031874525953999437,0.6366242410640343,0.11761499189061991,1,0
39,0.003497835620476445,0.6029731932007604,0.1448900387186085,1,0
40,0.0021810266069790404,0.6883495966077882,0.11526528505668632,1,0
41,0.0028549475189980408,0.7176952214568572,0.14069782707748593,1,0
42,0.004564323639812082,0.8056199280938162,0.10921707952344535,1,0
43,0.0032495567864804092,0.7757085473596524,0.1394926915493143,1,0
44,0.003225978116086367,0.8706011777332904,0.1028053275559353,1,0
45,0.003270131879482957,0.8904413317630214,0.13719307427538094,1,0
46,0.0015374228904591692,0.9720480018399486,0.11126314489052076,1,0
47,0.004864632082887163,0.9440068269448343,0.13727095986207552,1,0
48,0.0034895263020944165,0.058873388151133764,0.18969309758150446,1,1
49,0.004692952411813502,0.03284725228198905,0.21860140051920066,1,1
50,0.005012648063536953,0.11468898900260749,0.19269423096659022,1,1
51,0.002630245859815243,0.14327832908377594,0.22674771365758062,1,1
52,0.004032078853752226,0.23596786950913176,0.20127982296847244,1,1
53,0.00522803336792786,0.19963828778715711,0.22809438991226108,1,1
54,0.002738142773303935,0.2887157363402221,0.198881536177272,1,0
55,0.003487159685399162,0.3135531796444164,0.22456780830100873,1,0
56,0.0034361105548067787,0.3949249418806999,0.20238654608053253,1,0
57,0.004418728524134979,0.3683005169638747,0.22532802123169382,1,0
58,0.003168760254665021,0.4506791045018605,0.20450469899855642,1,0
59,0.0038266022651850654,0.48353955948149974,0.22590615078446796,1,0
60,0.0032739764583831353,0.5428914893831412,0.2014046342410122,1,0
61,0.0017905968555366849,0.5277060389609016,0.2272182153415745,1,0
62,0.0050555789050772725,0.6003283713281418,0.19981088467058003,1,0
63,0.006109254477593956,0.6404541998230459,0.22942068704379825,1,0
64,0.0038185657036830735,0.7176061925417381,0.19331200162644105,1,0
65,0.0022761954152626393,0.6947353483242993,0.22476430880684825,1,0
66,0.0038119018257174644,0.7756195184445334,0.1921068660982694,1,0
67,0.005731616898444378,0.8034544647218699,0.22364920022320342,1,0
68,0.0017908810291572131,0.8940169204109187,0.19504003356906532,1,0
69,0.0051216680230526095,0.8721003319243606,0.22247023300042268,1,0
70,0.00401680640476214,0.9475824155927319,0.19511791915575993,1,0
71,0.0024725160186120543,0.9777147101546413,0.2161850088019419,1,0
72,0.005129909187522821,0.036095179159165935,0.2803556764311414,1,1
