pair,beta,kappa,twoLambda,R2_score,rms_res,rel_res,rms_LHS
t0->t1,204.45079002428722,9.346637822963823e-10,-1.127498303228537e-05,0.15776215413607064,2.7848935686864278e-05,0.9173019149785748,3.0359617953609895e-05
t1->t2,204.44449541719536,9.346431628947926e-10,-1.1274672535646411e-05,0.15776622263829354,2.7847848219079684e-05,0.9172997215087175,3.0358505040508762e-05
t2->t3,204.43821899305968,9.346225702836174e-10,-1.127436259242138e-05,0.15777026046006515,2.7846765108569803e-05,0.9172975447751699,3.0357396318328813e-05
t3->t4,204.43196068774006,9.34602004463176e-10,-1.1274053201648727e-05,0.15777426773188652,2.7845686339451315e-05,0.9172953847066605,3.0356291772203798e-05
t4->t5,204.42572043733838,9.345814654336268e-10,-1.1273744362368363e-05,0.15777824458385448,2.7844611895892248e-05,0.9172932412321376,3.0355191387315223e-05
t5->t6,204.41949817816186,9.345609531949804e-10,-1.1273436073622345e-05,0.15778219114562175,2.7843541762115296e-05,0.917291114280791,3.035409514889527e-05
