# t,K
1.000000000000000021e-03,2.912214282292104173e+01
1.421122707638006058e-03,2.670017716201673252e+01
2.019589750164379853e-03,2.366239630075143197e+01
2.870084854071567552e-03,2.003922590549325022e+01
4.078742758969021963e-03,1.600597722836471348e+01
5.796393953384967705e-03,1.191326260873035281e+01
8.237387069571010939e-03,8.227911362341105317e+00
1.170633781617106718e-02,5.351196571325909090e+00
1.663614249384222019e-02,3.410195488582540069e+00
2.364199986550075822e-02,2.232615505831753833e+00
3.359818286283782623e-02,1.553415905684880638e+00
4.774714060175297425e-02,1.194139203237605251e+00
6.785454573393576161e-02,1.045363239103255459e+00
9.642963575895774353e-02,1.005792777626445478e+00
1.370383450663167912e-01,1.000311222956933532e+00
1.947483039908757263e-01,1.000004881205105889e+00
2.767612370754227724e-01,1.000000013305992974e+00
3.933116786018689415e-01,1.000000000002984724e+00
5.589441576403377798e-01,9.999999999999540368e-01
7.943282347242814900e-01,9.999999999999347189e-01
