ay,A,B,S,A_std,B_std,A_condG,B_condG,w_raw,w,S_w,S_w_minus_target,A_minus_B,condG_ratio_A_over_B,condG_diff_A_minus_B,std_ratio_A_over_B,std_diff_A_minus_B
0.76,0.22656,0.254652,0.240606,0.001568,0.001753,3.414,2.927,0.8419478855190089,0.8419478855190089,0.231,0.0,-0.028091999999999978,1.1663819610522719,0.4870000000000001,0.8944666286366229,-0.00018500000000000005
0.77,0.228874,0.252163,0.24051850000000002,0.001532,0.001693,3.369,2.966,0.9087122675941426,0.9087122675941426,0.231,0.0,-0.023289000000000032,1.1358732299393122,0.403,0.9049025398700531,-0.00016100000000000012
0.78,0.231173,0.249722,0.24044749999999998,0.001498,0.001636,3.326,3.005,1.0093266483368364,1.0,0.231173,0.00017299999999997873,-0.01854900000000001,1.1068219633943428,0.3210000000000002,0.9156479217603911,-0.0001380000000000001
0.79,0.233459,0.24733,0.2403945,0.001465,0.001582,3.284,3.043,1.1772763319155064,1.0,0.233459,0.002458999999999989,-0.013870999999999994,1.0791981597108116,0.24099999999999966,0.9260429835651074,-0.00011700000000000013
0.8,0.23573,0.244983,0.2403565,0.001433,0.001531,3.242,3.082,1.5111855614395309,1.0,0.23573,0.004729999999999984,-0.009253000000000011,1.0519143413367944,0.16000000000000014,0.9359895493141738,-9.8e-05
0.81,0.237988,0.242681,0.2403345,0.001403,0.001482,3.202,3.121,2.4890262092478137,1.0,0.237988,0.006987999999999994,-0.004693000000000003,1.0259532201217558,0.08099999999999996,0.946693657219973,-7.900000000000008e-05
0.8200000000000001,0.240231,0.240422,0.2403265,0.001374,0.001436,3.163,3.16,49.32984293193795,1.0,0.240231,0.00923099999999999,-0.00019099999999999673,1.0009493670886076,0.0029999999999996696,0.9568245125348189,-6.199999999999999e-05
0.8300000000000001,0.242461,0.238205,0.24033300000000002,0.001345,0.001393,3.124,3.198,-1.6929041353383394,0.0,0.238205,0.007204999999999989,0.00425600000000001,0.9768605378361477,-0.07399999999999984,0.9655419956927496,-4.7999999999999866e-05
0.84,0.244678,0.236029,0.2403535,0.001318,0.001351,3.087,3.237,-0.5814545034107952,0.0,0.236029,0.005028999999999978,0.008649000000000018,0.9536607970342911,-0.1499999999999999,0.9755736491487786,-3.300000000000004e-05
0.85,0.246881,0.233893,0.240387,0.001292,0.001312,3.051,3.276,-0.22274407145056815,0.0,0.233893,0.002892999999999979,0.012988,0.9313186813186815,-0.22499999999999964,0.9847560975609756,-2.0000000000000052e-05
0.86,0.249072,0.231796,0.24043399999999998,0.001267,0.001275,3.015,3.314,-0.04607548043528547,0.0,0.231796,0.0007959999999999912,0.017275999999999986,0.9097767048883525,-0.29899999999999993,0.9937254901960783,-8.000000000000194e-06
0.87,0.251249,0.229736,0.2404925,0.001243,0.001239,2.98,3.353,0.05875517129177776,0.05875517129177776,0.231,0.0,0.021513000000000004,0.8887563376081121,-0.3730000000000002,1.0032284100080708,3.99999999999988e-06
0.88,0.253413,0.227713,0.240563,0.001219,0.001205,2.946,3.392,0.12789883268482538,0.12789883268482538,0.23099999999999998,-2.7755575615628914e-17,0.0257,0.8685141509433963,-0.44599999999999973,1.011618257261411,1.4000000000000123e-05
0.89,0.255565,0.225725,0.240645,0.001196,0.001173,2.913,3.43,0.17677613941018785,0.17677613941018785,0.23099999999999998,-2.7755575615628914e-17,0.029839999999999978,0.849271137026239,-0.5170000000000003,1.0196078431372548,2.3000000000000017e-05
0.9,0.257704,0.223772,0.240738,0.001174,0.001142,2.881,3.469,0.21301426382176158,0.21301426382176158,0.231,0.0,0.03393199999999999,0.8304987027961949,-0.5880000000000001,1.0280210157618213,3.199999999999991e-05
