run_id,t,theta,elapsed_s,accepted,n_nodes,n_edges
0,1e-06,3070.9842496970095
0,1.0352018554516495e-06,3070.9837047215046
0,1.0716428815305355e-06,3070.9831447463166
0,1.1093666993419628e-06,3070.982525099795
0,1.1484184655350697e-06,3070.9819246315465
0,1.1888449263568402e-06,3070.9812678588896
0,1.230694473608878e-06,3070.9806318579467
0,1.2740172025740018e-06,3070.9799442538656
0,1.3188649719819266e-06,3070.979236959469
0,1.3652914660858754e-06,3070.9784917726734
0,1.413352258924401e-06,3070.977724267781
0,1.463104880845317e-06,3070.9769701639207
0,1.5146088873714367e-06,3070.9761790704147
0,1.5679259304904665e-06,3070.975324414161
0,1.623119832454485e-06,3070.9744428333297
0,1.6802566621772532e-06,3070.973547300825
0,1.7394048143208846e-06,3070.972626450234
0,1.8006350911665115e-06,3070.9716322741433
0,1.864020787366919e-06,3070.9706778087757
0,1.929637777682679e-06,3070.969644112922
0,1.997564607806703e-06,3070.9685460419505
0,2.0678825883860455e-06,3070.9674462437324
0,2.1406758923533892e-06,3070.9662982596656
0,2.216031655684844e-06,3070.965128733202
0,2.2940400817045417e-06,3070.9638794526345
0,2.3747945490609903e-06,3070.962610810348
0,2.4583917235044003e-06,3070.9613397103512
0,2.5449316735987286e-06,3070.95993041594
0,2.634517990507075e-06,3070.9585232807626
0,2.72725791199367e-06,3070.9570354112616
0,2.8232624507910387e-06,3070.955561106928
0,2.9226465274858544e-06,3070.9540002167355
0,3.0255291080826706e-06,3070.952421091252
0,3.132033346410155e-06,3070.950660751231
0,3.2422867315402246e-06,3070.9489343231526
0,3.3564212403967046e-06,3070.947161701057
0,3.4745734957359885e-06,3070.945300361082
0,3.596884929689019e-06,3070.943444601553
0,3.7235019530601484e-06,3070.9413802934127
0,3.854576130585699e-06,3070.939329266573
0,3.990264362361955e-06,3070.9372192611436
0,4.1307290716596805e-06,3070.934992063473
0,4.276138399350171e-06,3070.932629735672
0,4.4266664051753345e-06,3070.9303892140056
0,4.582493276102989e-06,3070.927906104107
0,4.7438055420165224e-06,3070.9253253928637
0,4.910796298997311e-06,3070.922729057514
