xshift,yshift,sin2_mean,sin2_std,cond_mean,cond_std,ok,n
0,0,0.3715078386,0.002925245899,1.691899707,0.02114148489,64,64
1,0,0.4140275804,0.002475674231,1.415384015,0.01437991855,64,64
0,1,0.1666118101,0.1255439422,165807533.7,229109640.7,64,64
3,2,0.1497962267,0.1124610369,207536202.9,277106716.1,64,64
5,5,0.1682984662,0.1058520934,162196649,259296220.6,64,64
