src,ax,ay,A,B,cA,cB,r,rho,S_pred,err_vs_target
C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\verify_e_ax2p520_ay0p733\cycle_rows_r.csv,,0.733,0.2267790096775782,0.2548550145894391,3.4095791820492747,2.9237995831118284,0.1537048791454773,0.857525057199148,0.23094511868356077,-5.4881316439242545e-05
C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\verify_mu_ax2p604_ay0p8175\cycle_rows_r.csv,,0.8175,0.2402729189041422,0.240809477547593,3.161933873200888,3.152660477419799,0.0029371332290832,0.9970671759268319,0.23551747470932857,0.004517474709328562
C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\verify_t_ax2p457_ay0p855\cycle_rows_r.csv,,0.855,0.2593549105623766,0.222701759845743,2.855720324830684,3.490310272773156,-0.2006665214331893,1.2222171206419161,0.2310169595692666,1.6959569266589147e-05
