L,sin2_mean,sin2_std,ok
16,0.2321388097,0.002098688949,64
20,0.2325623411,0.001477629348,64
24,0.2322504798,0.001297258021,64
28,0.2324945713,0.001193267387,64
32,0.2324211027,0.001028414874,64
