# t,K
1.000000000000000021e-03,4.415382177499732563e+01
1.421122707638006058e-03,3.806985805030809900e+01
2.019589750164379853e-03,3.110838212198179775e+01
2.870084854071567552e-03,2.378088093085675681e+01
4.078742758969021963e-03,1.686867807686864040e+01
5.796393953384967705e-03,1.117453463340721953e+01
8.237387069571010939e-03,7.128810425250808436e+00
1.170633781617106718e-02,4.581799168675813938e+00
1.663614249384222019e-02,3.042333922091597032e+00
2.364199986550075822e-02,2.084488051332487046e+00
3.359818286283782623e-02,1.490825536723002553e+00
4.774714060175297425e-02,1.167635780174188120e+00
6.785454573393576161e-02,1.037036707216951514e+00
9.642963575895774353e-02,1.004345587726536815e+00
1.370383450663167912e-01,1.000206860353028304e+00
1.947483039908757263e-01,1.000002731669273892e+00
2.767612370754227724e-01,1.000000005831556571e+00
3.933116786018689415e-01,1.000000000000934364e+00
5.589441576403377798e-01,1.000000000000000000e+00
7.943282347242814900e-01,1.000000000000000000e+00
