face,area,cx,cy,in_x,in_y
0,0.004292460354866111,0.05298029430879674,0.024359412350925647,1,1
1,0.004399053113632938,0.024892654451163076,0.059693085404476376,1,1
2,0.0043597125264245445,0.10206870487392476,0.022271187834767225,1,1
3,0.0048039205359099845,0.13441181598750412,0.06224048198704479,1,1
4,0.0025008316201598586,0.211106196050152,0.030467827788535518,1,1
5,0.004820426956016833,0.19111754230405897,0.05836498772316756,1,1
6,0.003615258200441002,0.2707667987021751,0.03268466456752566,1,0
7,0.0029866552617005535,0.3033153124689345,0.05243103539360949,1,0
8,0.0017727300326562125,0.38464744332885353,0.02738126951911868,1,0
9,0.0036554118916739004,0.3582499907616445,0.04624146952124941,1,0
10,0.0023919023166580726,0.4439682790046664,0.03349860169359001,1,0
11,0.0025966359332441164,0.4684817978679307,0.056667021642317295,1,0
12,0.0039175706355900775,0.5575150615971941,0.03445416336773585,1,0
13,0.0034228431157835425,0.5193596563313164,0.06435462136176635,1,0
14,0.0034231691247729977,0.6118280634384872,0.03184590557126987,1,0
15,0.0035474985849312806,0.6376609878797661,0.05721776811803687,1,0
16,0.005313898014063719,0.7322488568363034,0.028194805887144413,1,0
17,0.0029956692984031475,0.7006114248152834,0.058310935012798104,1,0
18,0.0030268296609264056,0.7834804381641711,0.026634651005600363,1,0
19,0.0025994692774830488,0.7989285115351299,0.06411512275247482,1,0
20,0.004881084182407237,0.8893922473080389,0.02479287190689754,1,0
21,0.005049948053297735,0.8522430631025076,0.06093060222252481,1,0
22,0.003628607731158032,0.9491111485792474,0.02271534014760479,1,0
23,0.0031688357512280763,0.9703425726933754,0.0552242713524993,1,0
24,0.003817527484292903,0.025567638853546404,0.11762086742900606,1,1
25,0.0027711528234953694,0.0637634768326189,0.13839921485366044,1,1
26,0.0021323033138619346,0.14394312703643106,0.11594909657772696,1,1
27,0.00187377398942307,0.12170821404429061,0.13209182290365448,1,1
28,0.0021147096292417756,0.2006488533529859,0.11207360231384977,1,1
29,0.003331225590788428,0.2340259214166623,0.13157709518713717,1,1
30,0.004120888508323261,0.305095909166787,0.11613975904786296,1,0
31,0.002047146101751903,0.28593580971761107,0.1437940410296986,1,0
32,0.005035821453527975,0.36003058745949695,0.10995019317550277,1,0
33,0.005535356894106186,0.39453319332146863,0.14416936148353734,1,0
34,0.0026436398954923315,0.4596610959015754,0.10993143801696974,1,0
35,0.0026775871932965003,0.4432527303330737,0.1398423863784076,1,0
36,0.0038369336408084266,0.5105389543649612,0.1176190377364188,1,0
37,0.004344526485752595,0.5416583983722278,0.14869646012113477,1,0
38,0.004291610729872095,0.6422218976683111,0.10809789463663866,1,0
39,0.004985814969137294,0.6093530119684211,0.14370391246861794,1,0
40,0.0035559530071964697,0.7051723346038283,0.10919106153139989,1,0
41,0.002673675792466258,0.7265408311227938,0.14464633491950465,1,0
42,0.0016934180490378817,0.807113807238257,0.117908514543207,1,0
43,0.004610837152369908,0.7813967983652438,0.145999445310091,1,0
44,0.00368033023287792,0.8604283588056347,0.114723994013257,1,0
45,0.0037843429826323206,0.8982559073479202,0.14207356064476137,1,0
46,0.0028208535465103087,0.9710175570957587,0.11315205337702898,1,0
47,0.0036549009403363717,0.9504644973183848,0.14413041911926625,1,0
48,0.005127844961688339,0.062218262432456234,0.19118605456582385,1,1
49,0.004082129510038294,0.025821979998508816,0.2303488053048491,1,1
50,0.0039476079965861935,0.12016299964412795,0.1848786626158179,1,1
51,0.003170748349437976,0.13859546994971714,0.213350082679273,1,1
52,0.004022420893503138,0.23467763770173478,0.18415931250159967,1,1
53,0.004172841750884832,0.19749812695150715,0.20926996601769488,1,1
54,0.0028462951157838617,0.28658752600268356,0.1963762583441611,1,0
55,0.0022288623151621584,0.30240367560355014,0.2285581440673031,1,0
56,0.003709423495197315,0.3880881816777711,0.2071908573718404,1,0
