up,down,D,Dz,Drho,P,PDG
u,d,0.010198039027185536,0.20793700000000004,0.003583596022012303,1.0,0.974
u,s,0.05223456709880911,0.89714,0.01649851936459429,3.1720393695447872e-09,0.225
u,b,0.1543243337908833,1.732684,0.03772429377617664,1.0080393966094666e-60,0.0037
c,d,0.13871600484442992,1.252506,0.027045582661969436,4.051936629586225e-41,0.225
c,s,0.09153108761508293,0.563303,0.01413065931938745,0.9725477858326537,0.973
c,b,0.018081205712009333,0.27224099999999996,0.0070951150921949035,0.02745221258132673,0.041
t,d,0.1284651314559713,2.375894,0.046801540259272356,8.634473859796189e-38,0.0087
t,s,0.12292932929126389,1.686691,0.03388661691669037,0.027452210995306998,0.041
t,b,0.18421533595224904,0.8511470000000001,0.012660842505108016,0.9725477874186733,0.999
