face_id,area,cx,cy,in_x_band,in_y_band
0,0.003028586571243664,0.04599037121719518,0.017857281482141163,1,1
1,0.004703263410760363,0.019028338008319823,0.048055350222504734,1,1
2,0.0025564331477038764,0.10029089557408,0.029384659937819458,1,1
3,0.003224982036875202,0.13224774851058776,0.05932905391007723,1,1
4,0.004649240157850601,0.21937176124118976,0.034607844587997545,1,1
5,0.0027932960062121434,0.18750760758279705,0.06409545930635756,1,1
6,0.0036420495402381603,0.2870254663370908,0.033080614470719055,1,0
7,0.003280764296400835,0.31600523203948544,0.056205024780807446,1,0
8,0.002799007506714111,0.39620471366508686,0.026496446889090714,1,0
9,0.0021430473981826183,0.3762979085268728,0.05387803436693186,1,0
10,0.0034145630120611756,0.44265332738467156,0.021866491696655554,1,0
11,0.003203948749168334,0.47560058953149326,0.048598745238208174,1,0
12,0.0026132370762381642,0.5447922238775139,0.026113806579599164,1,0
13,0.0020091359903604443,0.5232633717753307,0.04614151677745526,1,0
14,0.003287878371586629,0.6096147454457036,0.027454803272196997,1,0
15,0.004252804205686904,0.6461983633610315,0.04882694881960192,1,0
16,0.002391163553114843,0.72630397682912,0.02286534317564709,1,0
17,0.002541777508711453,0.7092072621417138,0.051169602946478016,1,0
18,0.0037887337620920104,0.7719644009254224,0.018415810988104075,1,0
19,0.004735131268937867,0.8079884883543329,0.05595962575952207,1,0
20,0.0035095424805752836,0.8852050084651255,0.028627612672760927,1,0
21,0.004562197580660268,0.8637208488436384,0.06030268931482241,1,0
22,0.0033790718554043376,0.9396525529615959,0.026365955021741095,1,0
23,0.0038323319689205016,0.9676515817484085,0.05472325442633319,1,0
24,0.0032067243067649643,0.02540850573840081,0.10904848265561995,1,1
25,0.003981440153635087,0.05190729022786961,0.14057863426879577,1,1
26,0.0035508966018700217,0.1400063433544058,0.10987258977135002,1,1
27,0.005706493044634959,0.10758624169849179,0.14165641615263186,1,1
28,0.002833041626725476,0.1952662024266151,0.11463899516763033,1,1
29,0.003407995577807209,0.22321238585788436,0.14028830421877878,1,1
30,0.0055404750912226375,0.3042951084168691,0.11139417994358654,1,0
31,0.0025561970322347987,0.271397372487351,0.14340669340300657,1,0
32,0.003886849610113336,0.3645877849042565,0.10906718952971095,1,0
33,0.0047161364910091345,0.3901695653086226,0.13864077619141138,1,0
34,0.0045453787847259414,0.4837385413350536,0.10727441419097755,1,0
35,0.0035334433690059927,0.456466254454384,0.1374973347889665,1,0
36,0.0029164274516560377,0.5314013235788909,0.10481718573022474,1,0
37,0.0033592310747134115,0.5589500968053955,0.1304626210029152,1,0
38,0.00518568820932716,0.6365399551692814,0.10171602636534278,1,0
39,0.002215020159791686,0.6059762583782747,0.12601702628848457,1,0
40,0.003117719871991632,0.6995488539499637,0.10405868049221889,1,0
41,0.003130966438218386,0.7170432071112144,0.1312236944612942,1,0
42,0.0031590401032116893,0.8181875303090852,0.1181206195047904,1,0
43,0.004673437280976363,0.7825610813540195,0.13604607847327868,1,0
44,0.0029340082568646325,0.8739198907983908,0.1224636830600907,1,0
45,0.0032373174813383975,0.9034893154121391,0.14531781381374462,1,0
46,0.0025504527195335217,0.9740317494784893,0.11571638685944825,1,0
47,0.0028772952088471524,0.954117985683938,0.14188829485057175,1,0
48,0.002501687765483377,0.05960222608706527,0.2067279894666879,1,1
49,0.005245830664086017,0.03567183827045036,0.23472396322871444,1,1
50,0.004347128775591865,0.11528117755768745,0.207805771350524,1,1
51,0.0012897555794228542,0.14201811413941778,0.22272732829600864,1,1
52,0.0034330538489652706,0.22128317293864508,0.19598715210873682,1,1
53,0.002856102741411938,0.18765382443319215,0.21704322638435491,1,1
54,0.0027071427899936157,0.2694681595681117,0.19910554129296462,1,0
55,0.0043530446686281645,0.30040004685033356,0.22957755588658305,1,0
56,0.004471165761433099,0.3833407750136364,0.19397606635737766,1,0
57,0.0025672429993544104,0.35579314596197403,0.22688700774871565,1,0
58,0.0037525763207242914,0.4496374641593977,0.19283262495493272,1,0
59,0.004280342891280975,0.4800707362002859,0.2217836102365658,1,0
60,0.003982493402337608,0.5579117922714981,0.19329564958991266,1,0
61,0.0015635877012170128,0.5335240042052121,0.22682412019684417,1,0
62,0.003719066592996557,0.6049379538443773,0.18885005487548212,1,0
63,0.004463903568876996,0.6264820760135291,0.22498554273368768,1,0
64,0.004413777082545129,0.7107029450116874,0.19339460041810982,1,0
65,0.003714018449787721,0.684189017228582,0.22666607423038185,1,0
66,0.0062492826930521765,0.7762208192544925,0.19821698443009428,1,0
67,0.002704333545248047,0.8051198204500684,0.22760331244528675,1,0
68,0.0028491870336078244,0.8947210530799269,0.19627951505987798,1,0
69,0.0024727824329845343,0.8584241807066887,0.2207371712899048,1,0
70,0.0025114353874276926,0.9453497233517258,0.19284999609670508,1,0
71,0.005529042338951802,0.9678318838191311,0.226204213480784,1,0
72,0.004113254004495078,0.03174731631373276,0.29742062269888875,1,1
73,0.00423210122087051,0.06423825837834501,0.3237618429542121,1,1
74,0.0029774657269654335,0.14301203384079733,0.2763068717543849,1,1
75,0.003056516495289762,0.12483565150706433,0.31572250882625014,1,1
76,0.003905231239361854,0.18864774413457167,0.2706227698427312,1,1
77,0.003155121446381695,0.22189743677316995,0.3049077413216439,1,1
78,0.003950023132141351,0.30754631264993376,0.2807737563845801,1,0
79,0.0035221498824216063,0.2762347695008572,0.3056427875454924,1,0
80,0.0019778353119675957,0.36293941176157424,0.2780832082467127,1,0
81,0.003631911033965681,0.3917719035972229,0.29666834167290346,1,0
82,0.006080774062468736,0.47892844909276383,0.28081817208327886,1,0
83,0.002280246052725845,0.44978003983586207,0.30336326161917465,1,0
84,0.0023013611897324516,0.53238171709769,0.2858586820435573,1,0
85,0.003285714821012897,0.5586336849318393,0.3108622213478574,1,0
86,0.004617954469952339,0.6259731736676487,0.2891624950056603,1,0
87,0.0012243331413195836,0.6062932312663601,0.3115590170586863,1,0
88,0.0038735222848172977,0.6836801148827015,0.2908430265023545,1,0
89,0.003908714857449252,0.7200728388138845,0.3143979980936648,1,0
90,0.003786792921966924,0.7978192025672763,0.2787587157113932,1,0
91,0.001930326469193783,0.778798997519778,0.3061988330997831,1,0
92,0.0030811464731906536,0.8511235628238967,0.2718925745560113,1,0
93,0.0037096130368838736,0.876293251999667,0.30797666601225165,1,0
94,0.0044023580969280475,0.9639073618624135,0.2889008729509583,1,0
95,0.005047615782555841,0.9302980181975403,0.3160884032531465,1,0
96,0.0025823272252667724,0.06224097371075743,0.36698160843553396,1,1
97,0.003058389282415928,0.02989293181347974,0.3895428108038033,1,1
98,0.001842322323123884,0.1228383668394767,0.3589422743075719,1,1
99,0.0034405077486889916,0.1411618302367615,0.3868898095272173,1,1
100,0.0026374500445802388,0.22353054124227625,0.3546700129938259,1,1
101,0.004293558320918194,0.1904279296672298,0.3877482138064237,1,1
102,0.0028476478030033696,0.27786787396996354,0.35540505921767446,1,0
103,0.00376020708074148,0.3035367762764866,0.3826956564821355,1,0
104,0.00507966712821817,0.39501491849146286,0.35713540258273063,1,0
105,0.003582217772160305,0.3605397858132606,0.3907098975819132,1,0
106,0.0046945898045666025,0.45302305473010196,0.3638303225290018,1,0
107,0.0033863033105565824,0.47175765509693907,0.40441744634290117,1,0
108,0.004044182108632869,0.5660819326774812,0.3643464804943708,1,0
109,0.0039569005743528216,0.5294161559532671,0.40247515453986576,1,0
110,0.0028930752184875026,0.6137414790120018,0.3650432762051998,1,0
111,0.0025852996430730333,0.6330157361460537,0.3997288561722267,1,0
112,0.004184811227928033,0.7257661467906474,0.3609328634531055,1,0
113,0.0035796612860219375,0.6889677375922277,0.39445999388184827,1,0
114,0.0024838716150615936,0.7844923054965411,0.3527336984592238,1,0
115,0.0027626462941415636,0.8011994649102984,0.3819515753883273,1,0
116,0.0020122305529634878,0.8861064705120579,0.36656217472370617,1,0
117,0.004656410236188542,0.8586237357025467,0.3871360775849592,1,0
118,0.003109865654781868,0.9401112367099312,0.37467391196460104,1,0
119,0.00240544030360683,0.9738634805421388,0.3963888042860056,1,0
120,0.003098415714937634,0.032413586227880355,0.4330887789021876,1,1
121,0.00393810003158651,0.06081319124337936,0.4573093902853609,1,1
122,0.001338941739846906,0.1412189899768506,0.44108694751757405,1,1
123,0.004042043567140489,0.11894708969778706,0.4599212260493714,1,1
124,0.002942138543659968,0.1904850894073189,0.44194535179678046,1,1
125,0.004730057270168206,0.22849953191128625,0.4669047086609162,1,1
126,0.003547337804817261,0.29569636233376667,0.4371509420111243,1,0
127,0.0026830816016748045,0.2749392909561645,0.46789790242339685,1,0
128,0.003361512918261681,0.3526993718705406,0.44516518311090203,1,0
129,0.002971021327619639,0.3781559431055697,0.4699952142491089,1,0
130,0.0018783335255504103,0.46093599712816163,0.4489522564425166,1,0
131,0.0023721847707033087,0.4331828353181515,0.4667696587660067,1,0
132,0.0022390246486769954,0.5185944979844896,0.44700996463948117,1,0
133,0.005012543841980715,0.5488310785178657,0.4737277342691431,1,0
134,0.0026658423213016696,0.635586341892901,0.4494303743862221,1,0
135,0.003989120057889439,0.6098828885680111,0.47959123809435217,1,0
136,0.0037441928896161615,0.691538343339075,0.4441615120958437,1,0
137,0.003608411076411858,0.7191016214120266,0.46793673210528897,1,0
138,0.002194898253873988,0.7985473667451112,0.43360309490685395,1,0
139,0.0038282588665305207,0.7726050762058856,0.4616875684159385,1,0
140,0.0037951481517131984,0.8559716375373592,0.4387875971034858,1,0
141,0.0033424465748286714,0.8824151976532754,0.4683199147609562,1,0
142,0.0024947635649960453,0.9763841349565396,0.43993477238439,1,0
143,0.004036949301085879,0.9415927164307368,0.4683261005817088,1,0
144,0.004864118496099807,0.05965304343941802,0.5255610618819483,1,1
145,0.006060299971360983,0.02428993239177017,0.5593341466951699,1,1
146,0.005024184281768047,0.11778694189382571,0.5281728976459589,1,1
147,0.004095639102175021,0.1458619570678854,0.5631807870207676,1,1
148,0.003982411083487258,0.22926777558366196,0.5299487624710233,1,1
149,0.003802501590398478,0.19705644797469077,0.5588315735134937,1,1
