eps,sin2_mean,sin2_std,condG,condA,min_angle_deg,min_area,min_star,ok
0,0.2310430732,0.001498209658,3.328380305,1.303122383e+12,0.8803203358,0.002365450922,1e-12,32
0.04,0.2221345294,0.01047180021,3.513165859,1.33446208e+12,0.8799684165,0.002364767565,1e-12,32
0.08,0.06196171167,0.0863230195,3963291606,1.398004604e+12,0.8788355009,0.002359185376,1e-12,32
0.12,1.612234978e-10,2.266828262e-13,6202582059,1.488632782e+12,0.8768848385,0.00234337382,1e-12,32
0.16,1.558745469e-10,2.537278471e-13,6415432579,1.738807063e+12,0.8743113924,0.002313507109,1e-12,32
0.2,1.5005133e-10,2.652548671e-13,6664406908,2.148725055e+12,0.8713147317,0.002270693063,1e-12,32
