species,d_ax,d_ay,ax,ay,z_pred,dz
mu,-0.008,-0.008,2.598465823616801,0.8106872517066096,-0.05875135414595967,-0.11555250251497376
mu,-0.008,-0.004,2.598465823616801,0.8146872517066096,0.02192319957756972,-0.03487794879144438
mu,-0.008,0.0,2.598465823616801,0.8186872517066096,0.10184751463034125,0.04504636626132715
mu,-0.008,0.004,2.598465823616801,0.8226872517066096,0.18102159101234072,0.12422044264332663
mu,-0.008,0.008,2.598465823616801,0.8266872517066096,0.2594454287235699,0.2026442803545558
mu,-0.004,-0.008,2.602465823616801,0.8106872517066096,-0.08205663026021703,-0.13885777862923113
mu,-0.004,-0.004,2.602465823616801,0.8146872517066096,-0.0009368889204939279,-0.05773803728950803
mu,-0.004,0.0,2.602465823616801,0.8186872517066096,0.07943261374845711,0.022631465379443015
mu,-0.004,0.004,2.602465823616801,0.8226872517066096,0.1590518777466503,0.10225072937763621
mu,-0.004,0.008,2.602465823616801,0.8266872517066096,0.23792090307408031,0.18111975470506622
mu,0.0,-0.008,2.606465823616801,0.8106872517066096,-0.10557563009795778,-0.16237677846697188
mu,0.0,-0.004,2.606465823616801,0.8146872517066096,-0.024010701142048063,-0.08081184951106216
mu,0.0,0.0,2.606465823616801,0.8186872517066096,0.056803989143103806,2.8407740897060108e-06
mu,0.0,0.004,2.606465823616801,0.8226872517066096,0.13686844075749072,0.08006729238847662
mu,0.0,0.008,2.606465823616801,0.8266872517066096,0.21618265370110734,0.15938150533209325
mu,0.004,-0.008,2.610465823616801,0.8106872517066096,-0.12930835365918192,-0.186109502028196
mu,0.004,-0.004,2.610465823616801,0.8146872517066096,-0.047298237087078476,-0.10409938545609257
mu,0.004,0.0,2.610465823616801,0.8186872517066096,0.03396164081426711,-0.022839507554746986
mu,0.004,0.004,2.610465823616801,0.8226872517066096,0.11447128004484064,0.05767013167582654
mu,0.004,0.008,2.610465823616801,0.8266872517066096,0.19423068060465098,0.1374295322356369
mu,0.008,-0.008,2.614465823616801,0.8106872517066096,-0.15325480094389654,-0.21005594931291063
mu,0.008,-0.004,2.614465823616801,0.8146872517066096,-0.07079949675559938,-0.12760064512461347
mu,0.008,0.0,2.614465823616801,0.8186872517066096,0.010905568761932827,-0.04589557960708127
mu,0.008,0.004,2.614465823616801,0.8226872517066096,0.09186039560870007,0.035059247239685974
mu,0.008,0.008,2.614465823616801,0.8266872517066096,0.17206498378470414,0.11526383541569005
