ay,A,B,S_raw,w_star,S_star,r,err_star
0.902,0.2618938010353374,0.2204327898027159,0.2411632954190267,0.2548710193775924,0.2309999999999999,-0.226997433443826,-2.775557561562892e-17
0.902,0.2619109428926955,0.2201859479360172,0.2410484454143563,0.259174436694616,0.231,-0.2285231316727372,0.0
0.902,0.2617389163920032,0.2194048535016316,0.2405718849468174,0.2738963781575887,0.231,-0.2321879385100265,2.775557561562892e-17
0.902,0.2604866942221493,0.2213587638737965,0.2409227290479729,0.2464029157782771,0.231,-0.2143251515534707,0.0
0.902,0.2582294445575993,0.2230526002145138,0.2406410223860566,0.2259270248341171,0.2309999999999999,-0.1927735713101674,-2.775557561562892e-17
0.902,0.2594774210516185,0.2229961755615127,0.2412367983065656,0.2193955916515516,0.2309999999999999,-0.1996042157004658,-2.775557561562892e-17
0.902,0.2601277377536765,0.2216609930559554,0.2408943654048159,0.2427813171463362,0.231,-0.2107082711284353,2.775557561562892e-17
0.902,0.2593207680151726,0.2226203334933187,0.2409705507542456,0.2283260843053908,0.231,-0.2009592178957893,0.0
0.902,0.2609923160227843,0.2202620206122291,0.2406271683175067,0.2636361774333737,0.231,-0.2233227465980567,0.0
0.902,0.2591883438348226,0.2217846553649611,0.2404864995998918,0.2463752911016848,0.231,-0.2051049641708866,0.0
0.902,0.2604595279102747,0.2210211962278337,0.2407403620690542,0.2530229689358058,0.231,-0.2161437048831622,0.0
0.902,0.2602402687207616,0.2215519869633187,0.2408961278420401,0.2442086494281612,0.231,-0.2119248133389908,2.775557561562892e-17
0.902,0.2605916586952541,0.2201875219035017,0.2403895902993779,0.267608194483328,0.231,-0.2216782509877271,0.0
0.902,0.2612315384753125,0.220660503954043,0.2409460212146777,0.2548492087510484,0.231,-0.2222439978579982,0.0
0.902,0.2603255566612993,0.2211001553049326,0.2407128559831159,0.2523835155981265,0.231,-0.2149895190375885,2.775557561562892e-17
0.902,0.2596859732735529,0.2221276621443531,0.240906817708953,0.2362283497020464,0.231,-0.205708798575855,2.775557561562892e-17
0.902,0.2605136908730045,0.2216421850364645,0.2410779379547345,0.2407371353938888,0.231,-0.2128216800672149,0.0
0.902,0.2587792614872197,0.2228675122617779,0.2408233868744988,0.2264575776348033,0.231,-0.1967103206304516,0.0
0.902,0.2599370725975957,0.2219998441292246,0.2409684583634102,0.2372380965646695,0.231,-0.2077543984130654,0.0
0.902,0.2588530492171626,0.2229282082373222,0.2408906287272424,0.2246855251831825,0.2309999999999999,-0.1967445620770744,-2.775557561562892e-17
0.902,0.2609913739674824,0.2210490075946864,0.2410201907810844,0.2491337722066212,0.231,-0.218741465620039,2.775557561562892e-17
0.902,0.2607436801436494,0.2202581187037665,0.240500899423708,0.2653262277758974,0.231,-0.2220559667093808,0.0
0.902,0.2621285389811124,0.2207167012233164,0.2414226201022144,0.2483178562812683,0.231,-0.2265600181730329,2.775557561562892e-17
0.902,0.2599411378714382,0.2217531962703311,0.2408471670708846,0.2421393597554055,0.2309999999999999,-0.2092041535155357,-2.775557561562892e-17
0.902,0.2612697784061246,0.2205578441304383,0.2409138112682814,0.2564888172311145,0.231,-0.2230391985624651,0.0
0.902,0.2609739661084203,0.2217929946939733,0.2413834804011968,0.2349866522868249,0.2309999999999999,-0.2143355786824556,-2.775557561562892e-17
