ax,ay,Kxx,Kyy,Kxy,R,sin2
1.31,0.95,0.34226284832846976,1.6089398504157748,-0.01978488922074057,0.21272569527072363,0.17541122126816622
1.31,0.95,0.3342562767542099,1.5290726523902807,-0.016018287275766242,0.21860065068307447,0.17938661903761502
1.31,1.85,0.863726814900025,0.6701389844028739,-0.01292049516277003,1.2888771359416542,0.563104552753289
1.31,1.85,0.8853484957799773,0.6359994504359929,-0.01185535593919005,1.3920585861718113,0.5819500384393285
1.3,1.08,0.4070248512480125,1.348242289592511,-0.0184407443211033,0.3018929567704263,0.23188769491412312
1.3,1.08,0.4024016248035984,1.2827676801859251,-0.0152826893938411,0.3136979758838904,0.23879002757298626
1.3,1.75,0.8022526231678213,0.7139157806390319,-0.013372236289814897,1.1237356631194204,0.5291316064584217
1.3,1.75,0.8202104205727213,0.6777860722433273,-0.012149696771774925,1.210131712883978,0.547538278297853
1.32,1.1,0.4084973221430914,1.3443716978453497,-0.018388133224813405,0.3038574248459692,0.23304497796748394
1.32,1.1,0.4040218710632193,1.2801379990432595,-0.015286915191022802,0.31560806051001866,0.23989520130156974
1.32,1.09,0.4036795035018103,1.3604497462244505,-0.018482381220071765,0.2967250386294021,0.22882648964890134
1.32,1.09,0.3989338378382692,1.2953561292965066,-0.015340430958277073,0.30797232422478726,0.23545782928344236
