t,ds_mean,ds_lo,ds_hi
0.0001,0.0003554506012823102,0.00034355863107553714,0.00036611239135317256
0.0001055386103036524,0.0003652937779719423,0.0003530725622465525,0.0003762507492348277
0.00011138398264826194,0.0003855252684047628,0.0003726273350412157,0.00039708894231694103
0.00011755310738783699,0.0004068772216129446,0.0003932651089667161,0.00041908118270271187
0.0001240639159058832,0.0004294116864770103,0.00041504586022085734,0.00044229137731406355
0.0001309353327353611,0.0004531941474880341,0.0004380328860639793,0.00046678697132620075
0.0001381873305653632,0.0004782937149116151,0.0004622929886897964,0.0004926391440261568
0.00014584098829439863,0.0005047833254423039,0.00048789666912682603,0.0005199230154636325
0.00015391855229902055,0.0005327399540107081,0.0005149183321520922,0.000548717864493824
0.0001624435010958867,0.0005622448373117095,0.0005434365023091914,0.0005791073589369944
0.00017144061358519703,0.0005933837096051775,0.0005735340518697285,0.0006111797985090561
0.00018093604107387166,0.0006262470516531949,0.0006052984416669461,0.0006450283709966698
0.00019095738328780968,0.0006609303533707589,0.0006388219748538404,0.0006807514227978118
0.0002015337685941733,0.0006975343909971343,0.0006742020650477798,0.0007184527442404942
0.0002126959386668692,0.000736165519637666,0.0007115415191145758,0.000758241870881875
0.0002244763378413224,0.0007769359819235433,0.0007509488356623706,0.0008002344012453477
0.00023690920741826322,0.0008199642337359591,0.000792538520000221,0.0008445523321819337
0.0002500306851906324,0.0008653752879496324,0.0008364314165112319,0.0008913244127728604
0.00026387891048289345,0.0009133010771677164,0.0008827550594287459,0.0009406865178351609
0.0002784941350080644,0.0009638808365480145,0.0009316440430745843,0.0009927820420017497
0.0002939188398646887,0.001017261507627154,0.0009832404123540073,0.0010477623154338288
0.0003101978590138097,0.0010735981645979109,0.0010376940749995357,0.0011057870427015359
0.0003273785095948577,0.0011330544641083406,0.00109516323656635,0.0011670247658372545
0.0003455107294592218,0.0011958031198105346,0.0011558148594832574,0.0012316533527564387
0.0003646472223212749,0.0012620264032136674,0.0012198251473876098,0.0012998605128842656
0.00038484361094874293,0.0013319166720805243,0.0012873800562056203,0.0013718443410340342
0.00040615859883769796,0.0014056769280898606,0.0013586758336339244,0.0014478138913761995
0.00042865414084209254,0.001483521405225474,0.00143391958820132,0.0015279897831010202
0.00045239562325380536,0.0015656761905432858,0.0015133298898075509,0.0016126048393067549
0.00047745205385661313,0.0016523798792434264,0.0015971374034734255,0.001701904761095534
