seed,Lx,Ly,jitter,NV,NE,NF,total_area,rho_phys,lambda1,base_spec
98794057,12,12,0.34417494167453555,144,432,288,484.3861098163042,0.29728350396878583,0.0074910435027485175,0.03028660313977576
38019573,12,12,0.33081155844098886,144,432,288,482.61882308118544,0.29837211711026973,0.00015399161334886773,0.01076815518733126
13878050,12,12,0.16542310596588605,144,432,288,485.5589034908325,0.2965654608838179,0.0033952516565656484,0.031225404155316702
31909705,12,12,0.1295228082416607,144,432,288,483.68577042061975,0.29771394737284834,0.007613340251567267,0.038532040918048696
31853392,12,12,0.16044157331319628,144,432,288,482.9884741443285,0.29814376058375536,0.02509096600203129,0.014772817519949225
95832913,12,12,0.341019811294594,144,432,288,486.5344658149512,0.295970810122975,0.012275262101456448,0.039580235345345306
26364980,12,12,0.21025153051337786,144,432,288,481.798790028682,0.298879953582755,0.01543330895068281,0.01682583821861251
89709892,12,12,0.2524677023556269,144,432,288,485.79983007622303,0.2964183828088332,0.01072775604951572,0.048176649863390326
86362129,12,12,0.3159394176936461,144,432,288,477.7305677014251,0.30142513319348235,0.014810398379653268,0.03464788219091859
95508114,12,12,0.26872032833742376,144,432,288,481.811755766471,0.2988719106094108,0.028435481875312696,0.028871367813849524
65987434,12,12,0.2839394245789886,144,432,288,479.6316051103694,0.30023042365372016,0.002607677866734908,0.026264407166478477
86708690,12,12,0.15568841453284682,144,432,288,482.82472441451716,0.29824487587005255,0.0019443586900073245,0.03703126100759323
17206618,12,12,0.31760374312223383,144,432,288,483.9339639008293,0.2975612598860892,0.0030098393896919175,0.03241165551459713
16233347,12,12,0.11503466445037877,144,432,288,482.34761760611536,0.29853988025206807,0.011953086360473007,0.022240020968312908
68368890,12,12,0.26780950478520027,144,432,288,484.6393553018256,0.2971281601972236,0.009394341039463386,0.04438541538750391
54873841,12,12,0.2527544952777525,144,432,288,485.35092026435154,0.29669254551236635,0.0021342207422271366,0.07308912414887461
6013731,12,12,0.3444423184019098,144,432,288,483.8408375700424,0.2976185324149165,0.00118585316500515,0.025078627272123927
45328810,12,12,0.2097379066866955,144,432,288,486.2375046817129,0.29615156916836605,0.006489489747287041,0.04117731011518064
53259502,12,12,0.10078307186445734,144,432,288,483.86806694947705,0.29760178411408933,0.0006392735311988683,0.04552150443878654
65764445,12,12,0.16281677637282604,144,432,288,484.73729236952687,0.2970681279669841,0.009592532954781756,0.028460296219455807
85849043,12,12,0.20632458779907942,144,432,288,486.17876118045496,0.2961873522618803,0.001359177675288677,0.06582284141226273
69890034,12,12,0.28395474850991675,144,432,288,480.65624523205554,0.2995904067167137,0.004791658368492277,0.007948533325584872
92204321,12,12,0.1383685427820289,144,432,288,484.1316029478197,0.297439785222037,0.015326366219945702,0.02526294257180599
35762868,12,12,0.34806480737190476,144,432,288,488.401593874192,0.29483933264372836,0.0016686227316232757,0.03418247590187413
18233178,12,12,0.3350282255706811,144,432,288,484.6879777630753,0.2970983531809199,0.0004175190765326811,0.001677046916803998
87896440,12,12,0.1217207638182966,144,432,288,482.4685165018048,0.2984650709316518,0.012348516775663015,0.05217764987499182
46821071,12,12,0.30724729998222117,144,432,288,486.5681786141595,0.2959503032239797,0.013851524939569251,0.015459528694141939
76010546,12,12,0.1702630657414691,144,432,288,484.9892700317767,0.296913785310271,12.888812603737868,0.04915456847129913
86909151,12,12,0.34410414357351465,144,432,288,486.62756558323,0.29591418609304215,0.0019067316282708286,0.04067146244515169
42524854,12,12,0.3104284143616417,144,432,288,487.8666990370285,0.29516259315143495,0.0014935052133768789,0.02213611316491917
44887360,12,12,0.19262710744267214,144,432,288,480.25025861599386,0.299843669871174,0.018297354795301615,0.003939664092167304
805420,12,12,0.22066735925346248,144,432,288,481.6798560862482,0.2989537515021508,0.009388628372687589,0.0510791017168783
9218154,12,12,0.15667077626356488,144,432,288,485.39690676315706,0.29666443686313576,0.03767689414800244,0.06824530443893118
17083326,12,12,0.23414155918782803,144,432,288,484.80712719000394,0.29702533631186495,0.01069008699459506,0.01958582451509073
73323165,12,12,0.21222769722803048,144,432,288,484.451435602637,0.29724341681611516,0.021601439350191872,0.027189052764647646
67625123,12,12,0.176375192414378,144,432,288,486.74339604753004,0.2958437673100726,0.01939808530745464,0.04423812884121069
94735960,12,12,0.2877584590898291,144,432,288,491.35188042396913,0.2930689913626621,0.024559987214013982,0.027504984956950165
