face,area,cx,cy,in_x,in_y
0,0.00398186996891992,0.0546098401624569,0.03623138821958084,1,1
1,0.00159507211079739,0.030102674390859174,0.06208257105209856,1,1
2,0.0033230498895940783,0.11018281634555059,0.033985575355614764,1,1
3,0.0036926276556564492,0.12770733087192773,0.06308452821752387,1,1
4,0.002782656086370807,0.22491207115229886,0.026502245777997546,1,1
5,0.00466085504398872,0.19033321193510974,0.05614409256398172,1,1
6,0.0023162169027905652,0.2738871228746707,0.029396189661408945,1,0
7,0.003087518329478484,0.2972404918191908,0.06263271567972721,1,0
8,0.0030157594517196554,0.3793649108240216,0.029756542305882067,1,0
9,0.003930148960489732,0.3471527163772148,0.061304180557924026,1,0
10,0.0020614971409381034,0.43596658812275546,0.026751354298199314,1,0
11,0.004591334319791098,0.46321532373607816,0.057377575110319705,1,0
12,0.0036928808702753535,0.5519339800182382,0.035898241721555944,1,0
13,0.0051939217805408305,0.5297582099728201,0.0678896415648677,1,0
14,0.005020978493179975,0.6103203379587634,0.030715259392174083,1,0
15,0.0027941830710782193,0.6407377549583142,0.05923284141986218,1,0
16,0.002374940159692806,0.7172270572763702,0.024705873089094332,1,0
17,0.004181725409482318,0.685606232261144,0.04815849277705486,1,0
18,0.002132511268514114,0.777616411686549,0.03335041189918858,1,0
19,0.003904845809197247,0.7995606201504547,0.05964880545671456,1,0
20,0.003750129259290636,0.8930464458845245,0.03291666709113103,1,0
21,0.004674094238452493,0.8619528734647819,0.06931650479431817,1,0
22,0.00484981512825225,0.9464543616629544,0.03181216759865624,1,0
23,0.0037173428433034538,0.9831110635326307,0.06291901742609735,1,0
24,0.002412857397405939,0.028531036341941277,0.12101719661824288,1,1
25,0.0024646572690917236,0.0482910216039363,0.14294455509727844,1,1
26,0.0028556599636905757,0.13074803965334014,0.11688631881794738,1,1
27,0.002617905403268175,0.10847634461736032,0.13556590726759157,1,1
28,0.004048055059115304,0.19337392071652215,0.10994588316440523,1,1
29,0.004093866753011038,0.23432887030772817,0.1339151941529653,1,1
30,0.0012222618984637445,0.30812398626040766,0.11042588079114511,1,0
31,0.003757476709959302,0.2911467076899044,0.1308005125473711,1,0
32,0.00255972113453614,0.3580362108184316,0.10909734566934193,1,0
33,0.0020456635738504165,0.3840915165425614,0.125706901312729,1,0
34,0.004067910789432738,0.46315024408513666,0.11772755617939988,1,0
35,0.003767928999665554,0.4297446197491371,0.1352585292627085,1,0
36,0.0042212903185172386,0.5296931303218786,0.12823962263394786,1,0
37,0.002613855588890763,0.5533011032063563,0.15104551301882382,1,0
38,0.002414103516270424,0.6433352961539852,0.12329129312633592,1,0
39,0.0035601138066570187,0.6143500819934938,0.14957100132683543,1,0
40,0.0036733586878446587,0.688203773456815,0.11221694448352847,1,0
41,0.004645019164321002,0.720505467941583,0.14186778369914688,1,0
42,0.0023115880554598115,0.7910041694189124,0.10820479998863199,1,0
43,0.003759277783166011,0.7697408304245488,0.13500986533468484,1,0
44,0.00311454786414365,0.8533964227332396,0.1178724993262356,1,0
45,0.004373759493952707,0.886741868351158,0.14579221399212303,1,0
46,0.004731260447289019,0.9815394254837129,0.12185364299224166,1,0
47,0.0035090579432843967,0.9471345968122121,0.15506634553387508,1,0
48,0.0047173882983622805,0.05942290179553944,0.19713372664979356,1,1
49,0.003942701272594504,0.03222857090840958,0.23522452900043414,1,1
50,0.005245938607281166,0.11960822480896338,0.1897550788201067,1,1
51,0.003920995425716446,0.1501816455948363,0.22993208305485938,1,1
52,0.004540277686002758,0.2263187438691235,0.19762221195882845,1,1
53,0.0030696453984827223,0.19366552002781054,0.23250949365466522,1,1
54,0.0037847357804674984,0.28313658125129976,0.1945075303532342,1,0
55,0.0037259524268530844,0.3017710441885368,0.218866954815649,1,0
56,0.002786779970529026,0.3867896322038204,0.19181137913232216,1,0
57,0.003994202615258223,0.36239151084642424,0.21993587970757586,1,0
58,0.004864091637040431,0.43244273541039596,0.20136300708230168,1,0
59,0.0035660624974155138,0.47080639057281676,0.23218058065799121,1,0
60,0.0025653978074415247,0.5455235814754686,0.19393168813142792,1,0
61,0.0023196770564195075,0.5268736394174122,0.2194743444055501,1,0
62,0.0029907339629384553,0.6065725602626062,0.19245717643943952,1,0
63,0.003890794957177715,0.6401396345538402,0.223824143368484,1,0
64,0.00265499327750634,0.7266347673468351,0.20025948826434234,1,0
65,0.003670308749710958,0.6989149329928096,0.22825532417826788,1,0
66,0.002067079163488581,0.7758701298298006,0.1934015698998803,1,0
67,0.004191184813010145,0.8030416120671333,0.22307688222454133,1,0
68,0.004042768014713589,0.8879809365782245,0.20241651107422184,1,0
69,0.005212165135341832,0.8605436342032751,0.23097717407904828,1,0
70,0.003411334871175351,0.9483736650392786,0.21169064261597384,1,0
71,0.0027366759528712386,0.9753441480856445,0.23849610090401663,1,0
72,0.0030005584625451536,0.03390567987711002,0.28107018432393094,1,1
73,0.0027620791515724575,0.0614316933467598,0.3025160656975708,1,1
74,0.0019912690987332724,0.14489264135004867,0.283335683325673,1,1
75,0.0028783622071077517,0.1146509031466958,0.3026953628152007,1,1
76,0.0015293133052823912,0.18837651578302292,0.2859130939254788,1,1
77,0.0022753883891805556,0.21357240515095788,0.3021212892158354,1,1
78,0.005132625260898511,0.295179173507,0.28223963353066445,1,0
79,0.00199008761434763,0.26908737609638506,0.3089756860544431,1,0
80,0.004466493769732297,0.3557996401648876,0.28330855842259134,1,0
81,0.0033882178779541627,0.38561165069971665,0.32002399728808056,1,0
82,0.00338811510545899,0.47457422281577716,0.27664757966472747,1,0
83,0.0033949467507307833,0.4416244568307894,0.31066994552978094,1,0
84,0.002160723034653547,0.5306414716603726,0.26394134341228637,1,0
85,0.0029317040007235964,0.5476930212384292,0.28770593614878986,1,0
86,0.0033554174611810147,0.6328386379841331,0.27429156435252827,1,0
87,0.0037265375236919212,0.5976731712128993,0.29223184643410943,1,0
88,0.002577132777464648,0.6916139364231025,0.2787227451623122,1,0
89,0.003586570261106912,0.7148426961069241,0.29832195118359567,1,0
90,0.0022979606058737504,0.8072057643228824,0.2790358806406743,1,0
91,0.003589455614284452,0.775543207415346,0.29695561025122236,1,0
92,0.002630548409496275,0.8647077864590241,0.2869361724951813,1,0
93,0.0019186783499408507,0.888266482318062,0.3038693212352908,1,0
94,0.00208032122264313,0.977021257054345,0.2843417562275134,1,0
95,0.00261362137432091,0.9461721674920675,0.30303010968440663,1,0
96,0.003579803878450435,0.05657206964806327,0.35714746810754533,1,1
97,0.0029779738471643214,0.031126779493286894,0.38034399211984926,1,1
98,0.0038671559865633373,0.10979127944799928,0.35732676522517526,1,1
99,0.0022812711441916357,0.1316194733768018,0.38212342772808233,1,1
100,0.0044338460650655345,0.2271115961714739,0.3548404388905711,1,1
101,0.00506606184971042,0.19350216252898855,0.38278858559264933,1,1
102,0.0040532237659013865,0.28262656711690104,0.3616948357291787,1,0
103,0.0018390686722644088,0.30860404287416654,0.39280668946397274,1,0
104,0.002986868353686598,0.3832265533539944,0.3700416445847581,1,0
105,0.0027006691897659848,0.35330022116581583,0.3911741119778414,1,0
106,0.002736900074761605,0.43923935948506704,0.3606875928264584,1,0
107,0.0052756926216489895,0.47243274962509646,0.3813312318138558,1,0
108,0.0027782879777035413,0.5433055325021873,0.34464081843980754,1,0
109,0.0025288517518198272,0.5264976070791723,0.3755422305557549,1,0
110,0.0034580915102496944,0.5932856824766574,0.34916672872512705,1,0
111,0.004702531696479554,0.6327776965565146,0.3811675529471719,1,0
112,0.003817098020134575,0.7069341535640027,0.35257842326040184,1,0
113,0.002184389561741833,0.6880319411888046,0.38292032354274436,1,0
114,0.0037785303460505185,0.7676346648724245,0.3512120823280285,1,0
115,0.004019198992749678,0.7963628820187659,0.380524298641505,1,0
116,0.004437847865617892,0.8865573914329267,0.36010620336684257,1,0
117,0.004182544498998756,0.8600643558126938,0.39040500055075755,1,0
118,0.005677356473912729,0.9444630766069322,0.35926699181595834,1,0
119,0.0030477367998676527,0.9773928894840831,0.38522104374500893,1,0
120,0.0043065634799618405,0.023963932974445712,0.4389874129469408,1,1
121,0.0032264798863222144,0.051904178193317746,0.46698869461512466,1,1
122,0.0036505058328889545,0.1331712116381799,0.4455301989153699,1,1
123,0.0023459919628881394,0.11383797277347307,0.4719313420929505,1,1
124,0.006654533295991962,0.19505390079036666,0.4461953567799368,1,1
125,0.0034770754920297143,0.22863804086165906,0.4827210626470188,1,1
126,0.0024446428268805253,0.3133868911790946,0.4437219130911683,1,0
127,0.004142302292000699,0.28738412185063616,0.47708391192553457,1,0
128,0.0032914785866705086,0.3580830694707438,0.4420893356050371,1,0
129,0.0019624400617651977,0.3828364809853637,0.4682796542092286,1,0
130,0.004720056060000276,0.4732232314323109,0.44169613005957437,1,0
131,0.003660799723752848,0.4348569206187227,0.46837527706945176,1,0
132,0.0021822803023055105,0.5272880888863866,0.4359071288014735,1,0
133,0.0035733687760315914,0.5513617812688271,0.459091480596598,1,0
134,0.00581344427479934,0.6330347584708022,0.4411189792815737,1,0
135,0.002156176800752088,0.6008085113503704,0.4632039189706008,1,0
136,0.0022041753947494094,0.6882890031030922,0.4428717498771461,1,0
137,0.003961113751169253,0.7073986979167866,0.4685828938969734,1,0
138,0.0034621024208812794,0.8014111629481678,0.43374708866202455,1,0
139,0.004449651010294263,0.7728904282403226,0.4604879166507179,1,0
140,0.0033683573085844807,0.8651126367420957,0.4436277905712771,1,0
141,0.0031315092269050735,0.8970008547626248,0.4791447645593245,1,0
142,0.0036906508580452505,0.970230042965242,0.44386446457210055,1,0
143,0.002446222744455908,0.9426954124883872,0.48372618381501226,1,0
144,0.005871023878097469,0.05730545974629164,0.5233769905777459,1,1
145,0.004131723681147093,0.024982369823906003,0.5547296698129377,1,1
146,0.004151904559723377,0.11923925432644698,0.5283196380555718,1,1
147,0.0030259732305791356,0.1506075833456679,0.5634631014627837,1,1
148,0.003191226370049014,0.21586787035602426,0.5393655069766955,1,1
149,0.0017657850576467881,0.1943188204392459,0.5643844076944062,1,1
150,0.003839828668214232,0.2746139513450014,0.5337283562552114,1,0
151,0.004246430654015159,0.3006620700445921,0.5592590913807225,1,0
152,0.0025531070776136154,0.38713002126530816,0.5226327757931376,1,0
153,0.004147334834984902,0.36242195912182074,0.5553351911488235,1,0
154,0.004545435375240755,0.4391504608986672,0.5227283986533608,1,0
155,0.004946803139418546,0.4784034616025606,0.5588291935320479,1,0
156,0.004979076587720503,0.5627161663830497,0.5230283851250693,1,0
157,0.004286879904880595,0.5395291638909144,0.5626239752185093,1,0
158,0.0033078727668488825,0.612162896464593,0.5271408234990721,1,0
159,0.0020441971430710626,0.6332938219944464,0.5643785985625597,1,0
160,0.003639857811991662,0.7181787103872308,0.5215998889899197,1,0
161,0.004724677410021098,0.687973693982958,0.5552114597226071,1,0
162,0.003966851580388161,0.7836704407107669,0.5135049117436642,1,0
163,0.0032402273212149228,0.8129049892245518,0.5438972112396052,1,0
164,0.003337600067783889,0.892845766799148,0.5337286413269904,1,0
165,0.00414300870023908,0.8616713625845586,0.5553447948235773,1,0
166,0.0023941683462294504,0.9385403245249103,0.5383100605826782,1,0
167,0.0032040410785316885,0.9616921102982513,0.5578023022431421,1,0
168,0.005762597460302905,0.024199934576309312,0.6149908277911375,1,1
169,0.002317427145774608,0.048412250408952355,0.641771566208127,1,1
170,0.004066811714811585,0.15660686361742834,0.6210124309630226,1,1
171,0.004559551267114571,0.11712776050846467,0.6440023852079921,1,1
172,0.0024365434512404133,0.20031810071100634,0.6219337371946451,1,1
173,0.0027089749288292816,0.22350550096404254,0.6498743734548879,1,1
174,0.0031283574623908357,0.2902477007318598,0.6123827124423582,1,0
175,0.0025251049394421072,0.2658379323685269,0.6398115142948004,1,0
176,0.003058075039546255,0.3520075898090884,0.6084588122104592,1,0
177,0.005473776026656104,0.3884187105169943,0.6370645344822838,1,0
178,0.0029460169937340313,0.4754365336482406,0.6108996423079752,1,0
179,0.0028399366522369376,0.44788659150876553,0.6361069850567987,1,0
180,0.0021937571339066962,0.5365622359365944,0.6146944239944366,1,0
181,0.003200104515345909,0.5544404156449978,0.6378223918910328,1,0
182,0.0014171685419585912,0.6430298427115893,0.6106336696525225,1,0
183,0.0037437339394906753,0.616590094398004,0.6361194525790711,1,0
184,0.0035970845935154577,0.697709714700101,0.6014665308125698,1,0
185,0.00399520232993736,0.7349600248293756,0.6243619288617508,1,0
186,0.0027726005425522367,0.8038928315226451,0.6042538478551939,1,0
187,0.0026915785959689405,0.7817035767338621,0.6303685171411212,1,0
188,0.003553601106309306,0.8526592048826518,0.6157014314391661,1,0
189,0.004305579919152884,0.8825159717113485,0.6509095305918521,1,0
190,0.004053568643300222,0.9609096750506549,0.6180634602213417,1,0
191,0.0027612668542679763,0.9364402518914213,0.6553954712101508,1,0
192,0.0031950899490536884,0.037541695499994976,0.6886191354054917,1,1
193,0.002660298139692417,0.0123674068235482,0.7182909204613193,1,1
194,0.004523253484428005,0.10625720559950719,0.6908499544053566,1,1
195,0.0028936111979159583,0.13600680095516995,0.7214267572777597,1,1
196,0.0019463159318257215,0.2285180949808708,0.6958804968925426,1,1
197,0.0026020075851640747,0.19560118697453366,0.7215066177496722,1,1
198,0.0018105686149324802,0.2708505263853551,0.6858176377324553,1,0
199,0.003993524026921133,0.29601660374377287,0.7156034512116635,1,0
200,0.004191240557652996,0.3948122058306094,0.6911728874442136,1,0
201,0.005776570673566099,0.35915739411778835,0.7197817805040394,1,0
202,0.0020022870840972935,0.45428008682238064,0.6902153380187285,1,0
203,0.002356105770914796,0.4722497410379416,0.7132916883976237,1,0
204,0.0025289555304387886,0.5480851140309873,0.6848965786580822,1,0
205,0.004186292209623398,0.5206266463986696,0.7100523038892046,1,0
206,0.003643909029504284,0.6102347927839935,0.6831936393461203,1,0
207,0.005279071762082992,0.6439575432161907,0.7147333038508396,1,0
208,0.003398414465352769,0.7316924616486697,0.6827433079473119,1,0
209,0.00467416953752503,0.7017251536380072,0.7168733573293986,1,0
210,0.002283414294842316,0.7784360135531564,0.6887498962266821,1,0
211,0.003107405952401663,0.8038665151760216,0.7155123332753256,1,0
212,0.0026010309990146877,0.8844389403770619,0.697529942483916,1,0
213,0.0029327660121625143,0.8578234203824474,0.7151989496658008,1,0
214,0.0016061784613620777,0.9383632205571346,0.7020158831022147,1,0
215,0.0023301386662369404,0.9618706708725645,0.7211363955862229,1,0
216,0.003343450878160583,0.01736934150175995,0.7677294443735017,1,1
217,0.004900581506139654,0.05111720388466177,0.7982436592804655,1,1
218,0.004364974954162317,0.1269756642528538,0.7764322408238646,1,1
219,0.0035028065575084992,0.10579964260364606,0.806041437914253,1,1
220,0.004893732889860464,0.18657005027221754,0.7765121012957773,1,1
221,0.005406749248166337,0.2239807949917402,0.803606276678825,1,1
222,0.0031740430571279513,0.30669481843053364,0.7786505637432103,1,0
223,0.003747757641431709,0.28602257778530144,0.8015850465041795,1,0
224,0.004768885627099078,0.36983560880454913,0.7828288930355862,1,0
225,0.0015761749385348471,0.39320878755415123,0.8032592587993087,1,0
226,0.002487321831368021,0.46889509560157255,0.7752242361192371,1,0
227,0.003600191334731588,0.43864380842279277,0.80118714456389,1,0
228,0.0044038512484813035,0.5172720009623007,0.771984851610818,1,0
229,0.00654403487601504,0.5517279840316955,0.8088798417004511,1,0
230,0.0026360980534909555,0.6462752319738829,0.7737366481420714,1,0
231,0.005759248986582358,0.6195499969787629,0.8042476989581075,1,0
232,0.002726510676105318,0.7040428423956994,0.7758767016206303,1,0
233,0.003719460411867617,0.7303295839072496,0.8056360294465726,1,0
234,0.004233957768893108,0.8027780821795872,0.7741591628938614,1,0
235,0.0035650502908951133,0.7736670140576095,0.8112861030532469,1,0
236,0.003964141748498862,0.8567349873860132,0.7738457792843364,1,0
237,0.00454079698653056,0.8791083278108301,0.8071083978623603,1,0
238,0.0029643386741740737,0.9668726055507765,0.7705749194984053,1,0
239,0.004462338456697864,0.9391229756655491,0.8023860327743059,1,0
240,0.004667917727385229,0.05175725871701653,0.8657061587227778,0,1
241,0.0019245273273182583,0.028174464304488778,0.89118722607044,0,1
242,0.0035067976445606512,0.10643969743600092,0.8735039373565653,0,1
243,0.002867533167194636,0.1325907253621105,0.897081561807676,0,1
244,0.00503825180653317,0.21985265923552422,0.8699467967143084,0,1
245,0.0017501840086740622,0.18741692079290337,0.8960394428727598,0,1
246,0.004291172302409179,0.2818944420290855,0.8679255665396629,0,0
247,0.0038467013444174296,0.3029193711984158,0.9007451047351842,0,0
248,0.0024484709416693323,0.38248667744133336,0.8593634844889614,0,0
249,0.00297566006258779,0.35946618721582935,0.8946871396817295,0,0
250,0.0037461193111985435,0.4279216983099749,0.8572913702535426,0,0
251,0.002966156860422059,0.4597051706821107,0.8850654247848917,0,0
252,0.0023500659650006416,0.5558979262366202,0.8632736864357061,0,0
253,0.003362214580893706,0.5229741283605812,0.880115659322075,0,0
254,0.002034521314682998,0.6237199391836875,0.8586415436933628,0,0
255,0.004730711966701311,0.652520957789867,0.8853328560213187,0,0
256,0.0021010190068470568,0.7242821120182841,0.8621787562965512,0,0
257,0.003104739266343039,0.7000711541177932,0.8896217916146011,0,0
258,0.001795103405444692,0.7676195421686439,0.8678288299032255,0,0
259,0.002596289541036318,0.7923229359988541,0.883709760886787,0,0
260,0.004238292214685628,0.8759329124739393,0.87205961564992,0,0
261,0.0021939712161814337,0.8491518977573547,0.8918048682148431,0,0
262,0.004232202809364372,0.9359475603286582,0.8673372505618655,0,0
263,0.005018896571512749,0.9738622581842594,0.8915214195405908,0,0
264,0.0025917510229755618,0.0310123404729323,0.9513971757966586,0,1
265,0.0033178681094765206,0.056052878131734735,0.9824169934510353,0,1
266,0.004670557434373271,0.13631913899466327,0.947247920036141,0,1
267,0.002820445816963742,0.11162585431482845,0.9801711805870692,0,1
